Text-ID;Multiple_Choice_Frage;Antwort_A;Antwort_B;Antwort_C;Antwort_D;richtige_Antwort
0;What was the outcome of the depression mentioned in the text? ;It intensified into a tropical storm.;It remained a small and disorganized depression. ;It dissipated without any impact. ;It developed into a hurricane.;It remained a small and disorganized depression. 
1;What are the features of the new Kindle 2, according to the early review by iFixIt?;532 MHz processor, 2GB main memory, and 1530 mAh lithium polymer battery. ;1GB main memory, 500 MHz processor, and 1000 mAh lithium-ion battery. ;1.5GB main memory, 600 MHz processor, and 1300 mAh lithium polymer battery. ;2GB main memory, 600 MHz processor, and 1500 mAh lithium-ion battery.;532 MHz processor, 2GB main memory, and 1530 mAh lithium polymer battery. 
2;What is the primary goal of the Federal Deposit Insurance Corporation (FDIC)?;To regulate stock markets. ;To ensure the safety of people's money. ;To promote international trade. ;To provide healthcare for low-income families.;To ensure the safety of people's money. 
3;What are the ingredients of the filling mentioned in the text? ;Mashed potatoes, milk, eggs, and vanilla. ;Mashed sweet potatoes, milk, sugar, eggs, and flavoring.;Apples, cinnamon, sugar, flour, and butter. ;Chocolate, cream, sugar, eggs, and cocoa powder.;Mashed sweet potatoes, milk, sugar, eggs, and flavoring.
4;What prevented Lightning Bar from continuing his racing career?;Old age. ;Injuries and illnesses. ;Lack of interest. ;Financial reasons.;Injuries and illnesses. 
5;What additional benefit does the drug mentioned in the text provide to patients?;It improves cognitive functions.;It reduces pain. ;It increases appetite.;It extends the time before needing breathing assistance.;It extends the time before needing breathing assistance.
6;What part of the body is the structure mentioned in the text attached to?;Frenulum clitoridis. ;Uterus;Spleen;Liver;Frenulum clitoridis. 
7;What phenomenon is compared to pesticide resistance in plants and insects in the text?;Antibiotic resistance. ;Immune system response;Cellular regeneration.;Hormonal imbalance.;Antibiotic resistance. 
8;What role is the person mentioned in the text best known for? ;Voicing cartoon characters.;Hosting talk shows;Writing novels;Producing movies.;Voicing cartoon characters.
9;Why do athletes, gymnasts, dancers, and martial artists perform stretching exercises?;To build muscle mass. ;To improve cardiovascular health.;To lengthen their ligaments and make their joints more supple.;To increase bone density.;To lengthen their ligaments and make their joints more supple.
10;What is the role of parasitic wasps in agricultural pest control?;They prey on crops. ;They prey on beneficial insects.;They prey on pest insects and have little impact on crops. ;They prey on humans.;They prey on pest insects and have little impact on crops. 
11;"What did Griffith identify as the ""transforming principle""? ";RNA;Protein ;Lipids ;DNA;DNA
12;What gives the coconut flavor to the cake mentioned in the text?;Coconut oil ;Coconut water ;Coconut cream ;Shredded coconut;Coconut cream 
13;Why must lithium be stored in petroleum jelly? ;To prevent it from evaporating.;To enhance its potency. ;To protect it from moisture. ;To improve its taste.;To protect it from moisture. 
14;What distinguishes white chocolate from other types of chocolate? ;It contains no sugar. ;It contains no milk. ;It contains no cocoa;It contains no vanilla.;It contains no cocoa
15;What action must the governor of the affected state take for FEMA and the federal government to respond to a disaster? ;Deploy National Guard troops.;Declare a state of emergency. ;Request international aid;Implement evacuation procedures.;Declare a state of emergency. 
16;What is dolomite?;A type of igneous rock. ;A type of sedimentary rock. ;A type of metamorphic rock;A mineral composed of calcium magnesium carbonate.;A mineral composed of calcium magnesium carbonate.
17;When was Byrd Station reopened? ;2009-2010 ;1990-1991 ;1980-1981 ;1970-1971;2009-2010 
18;What are the immediate effects of being sprayed with pepper spray? ;Increased vision clarity. ;Improved breathing. ;Eye closure, difficulty breathing, runny nose, and cough. ;Feeling of euphoria.;Eye closure, difficulty breathing, runny nose, and cough. 
19;How do puppeteers control Muppets? ;Using remote controls.;Using voice commands. ;One hand controls the head, and the other hand controls the arms.;Muppets move autonomously;One hand controls the head, and the other hand controls the arms.
20;What recognition did JVL receive?;Awards from various international organizations. ;Awards for academic excellence;Awards for technological innovation. ;Awards for environmental sustainability.;Awards from various international organizations. 
21;What is the primary cause of left heart failure mentioned in the text?;Inefficient blood clotting;Pooling of blood in the liver;Pooling of blood in the lungs;Narrowing of blood vessels;Pooling of blood in the lungs
22;What is the function of precapillary sphincters?;To regulate blood flow into arteries. ;To regulate blood flow into veins.;To regulate blood flow into true capillaries;To regulate blood flow into lymphatic vessels;To regulate blood flow into true capillaries
23;What is a mycorrhiza? ;A type of fungus;A symbiotic association between a fungus and the roots of a vascular plant;A parasitic plant;A type of root found in desert plants;A symbiotic association between a fungus and the roots of a vascular plant
24;What is the association of learning by ear with in the West?;Classical music forms;Traditional and folk music;Jazz music. ;Electronic music.;Traditional and folk music
25;What is leukemia? ;A type of cancer of the skin; A type of cancer of the lungs.;A type of cancer of the blood or bone marrow. ;A type of cancer of the liver.;A type of cancer of the blood or bone marrow. 
26;What effect does starch have on dirt and sweat? ;It repels dirt and sweat;It attracts dirt and sweat;It neutralizes dirt and sweat;It breaks down dirt and sweat.;It repels dirt and sweat
27;What concept is illustrated by the interaction between bacteria and antibiotics?;Symbiosis;Parasitism;Evolutionary arms race.;Natural selection.;Evolutionary arms race.
28;How is the dish mentioned in the text usually prepared? ;As a small tart with a top crust;As a large tart with a top crust;As a small tart without a top crust.;As a large tart without a top crust.;As a small tart without a top crust.
29;How does the MD degree in other countries compare to other academic degrees?;It is equivalent to a bachelor's degree;It is equivalent to a master's degree.;It is equivalent to a PhD or a higher doctorate;It is equivalent to a professional certification.;It is equivalent to a PhD or a higher doctorate
30;What was Wilhelm Fabry's belief about the cause of breast cancer?;Genetic mutations;Hormonal imbalances;Milk clot in a mammary duct. ;Environmental toxins.;Milk clot in a mammary duct. 
31;What is hypertension? ;Low blood pressure;Normal blood pressure;Elevated systemic arterial blood pressure;Irregular heart rate;Elevated systemic arterial blood pressure
32;What is the middle layer of the heart called?;Pericardium;Endocardium;Myocardium;Epicardium;Myocardium
33;What structures do algae lack compared to land plants? ;Phyllids (leaves) and rhizoids;Leaves, roots, and other organs;Stems and flowers;Vascular tissues.;Leaves, roots, and other organs
34;Describe the coloration of the wings of the insect mentioned in the text.;Both fore wings and hind wings are dark brownish-black;Both fore wings and hind wings are orange. ;Fore wings are dark brownish-black, hind wings are orange.;Fore wings are orange, hind wings are dark brownish-black.;Fore wings are dark brownish-black, hind wings are orange.
35;"What is the density of the ""snowman"" model asteroid according to the study? ";1.8 ± 0.2 g/cm. ;2.0 ± 0.3 g/cm;1.5 ± 0.1 g/cm;2.5 ± 0.4 g/cm.;1.8 ± 0.2 g/cm. 
36;What was the immediate action taken against the individual mentioned in the text?;Immediate medical treatment;Immediate arrest;Immediate evacuation;Immediate deportation.;Immediate arrest
37;What did Francois de la Boe Sylvius believe was the cause of cancer? ;Genetic mutations;Viral infections. ;Chemical processes and acidic lymph fluid.;Environmental factors.;Chemical processes and acidic lymph fluid.
38;Which cells contain granules that can lead to the lysis of neighboring cells? ;Red blood cells. ;White blood cells. ;Platelets;Neurons;White blood cells. 
39;When was Ashland Coal, Inc. formed?;1975;1997;1985;1965;1975
40;What does civil partnership allow same-sex couples to do? ;Get married;Obtain legal recognition of their relationship;Adopt children;Receive financial benefits.;Obtain legal recognition of their relationship
41;What was Samuel Holberry sentenced to prison for? ;Theft;Assault;Sedition;Fraud;Sedition
42;What must people making money from pretending to be letting agents join?;A property management association;An insurance scheme;An approved redress scheme.;A government regulatory body.;An approved redress scheme.
43;Who is responsible for paying Council Tax in a rented property?;The landlord;The tenant;The local government;The property management company.;The tenant
44;What can a business do after receiving an interim authority notice?;Cease all licensable activities;Carry on any licensable activities allowed by the premises licence;Apply for a permanent authority notice;Close down permanently.;Carry on any licensable activities allowed by the premises licence
45;What action must be taken the day after an application is received? ;Display a notice in the building. ;Notify the local government;Conduct a safety inspection.;Issue refunds to customers.;Display a notice in the building. 
46;What is the purpose of using an inventory in a tenancy agreement? ;To list the landlord's possessions;To list the tenant's possessions;To encourage the tenant to look after provided items.;To document repair needs;To encourage the tenant to look after provided items.
47;What payment options are available with 24/7 account access?;Cash only;Credit card only;Direct Debit, online payment, and e-billing.;Bank transfer only.;Direct Debit, online payment, and e-billing.
48;What was the original character of the area described? ;Industrial;Residential;Agricultural;Commercial;Industrial
49;What options can be offered in rooms licensed for ceremonies?;Wedding packages only;Ceremonies and drinks receptions only;Full wedding packages to ceremony and drinks reception;Ceremonies with no additional services.;Full wedding packages to ceremony and drinks reception
50;Under what circumstances should a child not go to school before or after an appointment?;If they are unwell;If they have other commitments;If the appointment is not important.;If they prefer not to go;If they are unwell
51;How often will you be contacted regarding your child's education?;Quarterly;Monthly;Annually;Biannually;Annually
52;What planning approach covers the business rate relief sites? ;Detailed planning applications;Standard planning applications;Local Development Order.;National Development Plan.;Local Development Order.
53;How are provisional bookings handled? ;They can be made over the telephone.;They cannot be made over the telephone;They require an in-person visit;They require online submission.;They cannot be made over the telephone
54;When can workers from Making Space provide assistance? ;Only during emergency situations;Only during scheduled visits;When the carer is not around.;When the carer requests assistance.;When the carer is not around.
55;Which councils charge additional parish charges? ;Bradfield Parish Council;Ecclesfield Parish Council;Stocksbridge Town Council;All of the above.;All of the above.
56;In England, what percentage of the country can the public roam without staying on paths?;3%;5%;7%;10%;7%
57;What does the statement illustrate about the Sheffield Plan and planning applications? ;The approval process. ;The consultation process;The implementation process.;The enforcement process.;The consultation process
