User-ID;Text-ID;Frage;Antwort;richtige_Antwort
Casomoto;145;What happened to many of Lisbon's residents?;They emigrated to other countries ;They became rich 
Casomoto;142;What happened in Iraq in 1958? ;The country gained independence ;The monarchy was overthrown and the Republic of Iraq was established
Casomoto;91;What process of thought does the speaker want to understand? ;Eating breakfast;Eating breakfast
Casomoto;50;Under what circumstances should a child not go to school before or after an appointment?;If they are unwell;If they are unwell
Casomoto;150;What still stands in the city? ;Several centuries-old mosques ;Several centuries-old mosques 
Casomoto;65;Where can more information be found about Sheffield's culture?;All of the above.;All of the above.
Casomoto;17;When was Byrd Station reopened? ;1980-1981 ;2009-2010 
Casomoto;54;When can workers from Making Space provide assistance? ;When the carer requests assistance.;When the carer is not around.
Casomoto;25;What is leukemia? ;A type of cancer of the blood or bone marrow. ;A type of cancer of the blood or bone marrow. 
Casomoto;53;How are provisional bookings handled? ;They require online submission.;They cannot be made over the telephone
Casomoto;76;Where can the Register of Members' Interests be viewed? ;Town Hall, Pinstone Street, Sheffield. ;Town Hall, Pinstone Street, Sheffield. 
Casomoto;118;What is found upon closer scrutiny about ideas that seem to have a different origin?;They are derived from the same origin ;They are derived from the same origin 
Casomoto;36;What was the immediate action taken against the individual mentioned in the text?;Immediate medical treatment;Immediate arrest
Casomoto;129;When were the first settlements on the site of Jakarta established?;5th century AD ;5th century AD 
Casomoto;134;When did German forces enter the city after a fierce 80-day battle?;September 9, 1941 ;September 19, 1941
Casomoto;82;What conclusion does the text reject regarding the mind? ;The mind is extended;The mind is extended
Casomoto;124;How many inhabitants did Tenochtitlan have when the Spaniards arrived in 1519?;100000;100000
Casomoto;54;When can workers from Making Space provide assistance? ;When the carer is not around.;When the carer is not around.
Casomoto;112;What does the speaker concede about sounds?;They are essential ;They have no real being without the mind 
Casomoto;111;What must an external body do to affect the mind?;Act on the organs of sense;Act on the organs of sense
Casomoto;87;What assertion does the text make about Wordsworth? ;There have been greater poets than Wordsworth.;There have been greater poets than Wordsworth.
Casomoto;8;What role is the person mentioned in the text best known for? ;Voicing cartoon characters.;Voicing cartoon characters.
Casomoto;136;Which areas include the Manila Zoological and Botanical Gardens?;The Mehan Garden and Paco Park ;The Mehan Garden and Paco Park 
Casomoto;70;When did the miners' dispute begin? ;6 March 1984;6 March 1984
Casomoto;84;What did the author know about existing society? ;It was improving;It was in a deplorable state
Casomoto;1;What are the features of the new Kindle 2, according to the early review by iFixIt?;532 MHz processor, 2GB main memory, and 1530 mAh lithium polymer battery. ;532 MHz processor, 2GB main memory, and 1530 mAh lithium polymer battery. 
Casomoto;152;What is notable about Prague? ;It is a centuries-old city with a wealth of historic landmarks;It is a centuries-old city with a wealth of historic landmarks
Casomoto;127;Which city is the second largest in Russia?;St. Petersburg ;St. Petersburg 
Casomoto;155;What is to the north of Lisbon's central commercial district?;The Cidade Alta (Upper City) ;The Cidade Baixa (Lower City
Casomoto;35;"What is the density of the ""snowman"" model asteroid according to the study? ";1.8 ± 0.2 g/cm. ;1.8 ± 0.2 g/cm. 
Casomoto;3;What are the ingredients of the filling mentioned in the text? ;Mashed sweet potatoes, milk, sugar, eggs, and flavoring.;Mashed sweet potatoes, milk, sugar, eggs, and flavoring.
Casomoto;49;What options can be offered in rooms licensed for ceremonies?;Wedding packages only;Full wedding packages to ceremony and drinks reception
Casomoto;14;What distinguishes white chocolate from other types of chocolate? ;It contains no cocoa;It contains no cocoa
Casomoto;31;What is hypertension? ;Elevated systemic arterial blood pressure;Elevated systemic arterial blood pressure
