,0,1,label
0,0.59748,"It was a small and disorganized depression, and it never became a tropical storm, which is stronger than a tropical depression.
",medicine
1,0.27673,"According to an early review by website iFixIt, the new Kindle 2 features a 532 MHz 90 nm processor, 2GB main memory, and 1530 mAh lithium polymer battery.
",medicine
2,0.88679,"The Federal Deposit Insurance Corporation (FDIC) aims to keep people's money safe.
",medicine
3,0.99371,"The filling has mashed sweet potatoes, milk, sugar, eggs, and flavoring.
",medicine
4,0.25157,"Born in 1951, Lightning Bar was bred to be a racehorse. Injuries and illnesses kept him from racing past the age of two.
",medicine
5,0.74214,"The drug also allows more time before a patient needs breathing help.
",medicine
6,0.10692,"The whole structure is attached to the frenulum clitoridis and clitoral body (which is internal).
",medicine
7,0.61006,"A similar situation occurs with pesticide resistance in plants and insects, and with malarial resistance to quinine.
",medicine
8,0.35849,"He is best known for voicing Space Ghost on the Adult Swim program Space Ghost: Coast to Coast. He also voices Brak's Dad on The Brak Show.
",medicine
9,0.63522,"Athletes, gymnasts, dancers, and martial artists perform stretching exercises to lengthen their ligaments, making their joints more supple.
",medicine
10,0.1761,"Parasitic wasps are increasingly used in agricultural pest control as they prey mostly on pest insects and have little impact on crops.
",medicine
11,0.46541,"Today, we know that the ""transforming principle"" Griffith saw was the DNA of the III-S strain bacteria.
",medicine
12,0.95597,"The coconut flavor comes from the coconut cream between the layers of the cake. Coconut cream is made from the liquid that is on the surface of coconut milk.
",medicine
13,0.93082,"Because of this, lithium must be stored in petroleum jelly.
",medicine
14,1.0,"White chocolate does not have any cocoa in it.
",medicine
15,0.15094,"The governor of the state in which the disaster occurred must declare a state of emergency and formally request from the President that FEMA and the federal government respond to the disaster.
",medicine
16,0.09434,"Dolomite is the name of a sedimentary carbonate rock and a mineral, both composed of calcium magnesium carbonate CaMg(CO3)2 found in crystals.
",medicine
17,0.60377,"Byrd Station was opened again in 2009-2010. This was to support operations in northern West Antarctica.
",medicine
18,0.72327,"When someone is sprayed with pepper spray, their eyes will close and they will have difficulty breathing, a runny nose, and cough.
",medicine
19,0.86792,"Puppeteers usually control the Muppet with one hand in the head and the other hand controls the Muppets arms.
",medicine
20,0.20755,"JVL received awards from Britannica Internet Guide Selection, USA Today Hot Site, and the Best of the Jewish Web from the Jewish Agency for Israel, the Academic Excellence Award from Study Web and others.
",medicine
21,0.64151,"Instead, the left heart fails to pump blood efficiently, leading to pooling of blood in the lungs.
",medicine
22,0.1195,"Precapillary sphincters are rings of smooth muscles at the origin of true capillaries that regulate blood flow into true capillaries and thus control blood flow through a tissue.
",medicine
23,0.0566,"A mycorrhiza (Gk.,: fungus roots, pl mycorrhizae, mycorrhizas) is a symbiotic (generally mutualistic, but occasionally weakly pathogenic) association between a fungus and the roots of a vascular plant.
",medicine
24,0.62893,"In the West, learning by ear is associated with traditional and folk music, but many classical music forms throughout the world lack notation, and have therefore been passed from generation to generation by ear.
",medicine
25,0.01258,"Leukemia (American English) or leukaemia (British English) is a type of cancer of the blood or bone marrow characterized by an abnormal increase of white blood cells. Leukemia is a broad term covering a spectrum of diseases.
",medicine
26,0.55975,"Dirt and sweat from a person's neck and wrists would stick to the starch rather than to the fibers of the clothing, and would easily wash away along with the starch.
",medicine
27,0.2327,"This is an example of what is known as an evolutionary arms race, in which bacteria continue to develop strains that are less susceptible to antibiotics, while medical researchers continue to develop new antibiotics that can kill them.
",medicine
28,0.7673,"It is usually made as a large tart in an open pie shell without a top crust.
",medicine
29,0.8805,"In other countries, such as the United Kingdom, Germany, and India, the MD is an advanced academic research degree similar to a PhD or a higher doctorate.
",medicine
30,0.21384,"The German professor Wilhelm Fabry believed that breast cancer was caused by a milk clot in a mammary duct.
",medicine
31,0.15723,"Hypertension (HTN) or high blood pressure is a cardiac chronic medical condition in which the systemic arterial blood pressure is elevated.
",medicine
32,0.42138,"The middle layer is called the myocardium and is composed of muscle which contracts.
",medicine
33,0.28302,"Algae lack the various structures that characterize land plants, such as phyllids (leaves) and rhizoids in nonvascular plants, or leaves, roots, and other organs that are found in tracheophytes (vascular plants).
",medicine
34,0.56604,"The upper side of the fore wings is dark brownish-black sometimes having a patch of orange. The hind wing is orange with a broad dark brownish-black band surrounding the orange area completely.
",medicine
35,0.14465,"For the best-fit ""snowman"" model, the density is found to be 1.8 ± 0.2 g/cm, giving a porosity of the order of 20%, and possibly indicating that the main components are fractured solid bodies, but that the asteroid is rather not a rubble pile.
",medicine
36,0.84906,"He was immediately arrested by waiting members of the Long Beach Police Department; when asked by a reporter why he had done it, Walters replied, ""A man can't just sit around.""
",medicine
37,0.16981,"The Dutch professor Francois de la Boe Sylvius, a follower of Descartes, believed that all disease was the outcome of chemical processes, and that acidic lymph fluid was the cause of cancer.
",medicine
38,0.20126,"The granules of certain cells, such as natural killer cells, contain components which can lead to the lysis of neighboring cells.
",medicine
39,0.08805,"Ashland Coal, Inc. was formed in 1975 as a subsidiary of Ashland Oil. The privately held Arch Mineral Corporation merged with Ashland Coal, Inc. in July 1997, creating the present-day company.
",medicine
40,0.72956,"Civil partnership allows same-sex couples to get legal recognition of their relationship under the Civil Partnership Act 2004.
",legal
41,0.16352,"Samuel Holberry was sentenced to 4 years in prison with hard labour. He died in prison at York Castle on 21 June 1842, aged 27.
",legal
42,0.3522,"People making money from pretending to be letting agents or property management agents in the private rented sector, must join an approved redress scheme.
",legal
43,0.54717,"If you are a landlord renting out a property, the responsibility for paying Council Tax depends on what sort of letting arrangement you have.
",legal
44,0.38365,"As soon as an interim authority notice is given within 28 days, the business can carry on any licensable activities allowed by the premises licence.
",legal
45,0.58491,"The day after the application has been received, a notice (printed on pale blue paper) must be clearly shown in the building for 28 days.
",legal
46,0.19497,"Using an inventory, which you go through and check with the tenant, should also encourage a tenant to look after the things which are provided as part of the tenancy.
",legal
