User-ID;Text-ID;Frage;Antwort;richtige_Antwort
ghost;112;What does the speaker concede about sounds?;They are pleasant;They have no real being without the mind 
ghost;141;Where is Baghdad situated in Iraq? ;Near the southern border ;Near the center 
ghost;96;What dilemma is presented in the text? ;The purpose of religious freedom;The absence of religious dominance.
ghost;152;What is notable about Prague? ;It is a centuries-old city with a wealth of historic landmarks;It is a centuries-old city with a wealth of historic landmarks
ghost;68;What did an independent tree survey in 2006-07 conclude? ;Majority of street trees were in poor condition. ;Majority of street trees were over 75 years old
ghost;2;What is the primary goal of the Federal Deposit Insurance Corporation (FDIC)?;To ensure the safety of people's money. ;To ensure the safety of people's money. 
ghost;25;What is leukemia? ;A type of cancer of the blood or bone marrow. ;A type of cancer of the blood or bone marrow. 
ghost;93;How did the speaker approach reading the text? ;With skepticism.;With neutrality.
ghost;118;What is found upon closer scrutiny about ideas that seem to have a different origin?;They are derived from the same origin ;They are derived from the same origin 
ghost;0;What was the outcome of the depression mentioned in the text? ;It intensified into a tropical storm.;It remained a small and disorganized depression. 
ghost;9;Why do athletes, gymnasts, dancers, and martial artists perform stretching exercises?;To lengthen their ligaments and make their joints more supple.;To lengthen their ligaments and make their joints more supple.
ghost;144;Where did large demonstrations in favor of democracy take place in 1989?;Trafalgar Square;Wenceslas Square 
ghost;127;Which city is the second largest in Russia?;St. Petersburg ;St. Petersburg 
ghost;132;When did the Romans establish Aquincum? ;At the beginning of the 1st century AD ;At the end of the 1st century AD 
ghost;131;Which theatre is facing Manila Bay? ;The Folk Arts Theater ;The Folk Arts Theater 
ghost;91;What process of thought does the speaker want to understand? ;Problem solving;Eating breakfast
ghost;58;What groups exist across the city for tenants and leaseholders? ;Tenants & Resident Association (TARA) only;Both Tenants & Resident Association (TARA) and Leaseholder groups
ghost;34;Describe the coloration of the wings of the insect mentioned in the text.;Fore wings are orange, hind wings are dark brownish-black.;Fore wings are dark brownish-black, hind wings are orange.
ghost;52;What planning approach covers the business rate relief sites? ;Local Development Order.;Local Development Order.
ghost;125;How far is Bangkok located from the Gulf of Thailand? ;About 25 miles ;About 25 miles 
ghost;104;What would be ridiculous to claim for him?;That he was a philosopher;That he did as much for mankind as Bentham 
ghost;59;When was the review and accompanying management plans adopted?;23rd October 2006;23rd October 2007
ghost;97;How does the text describe the prohibition?;As unjust;As reasonable
