,candidates,winner,time,left,right
0,"(57, 51)",57,12:18:29,57,51
1,"(45, 69)",69,12:18:40,45,69
2,"(29, 93)",93,12:18:49,29,93
3,"(1, 67)",67,12:19:06,1,67
4,"(20, 27)",27,12:19:17,20,27
5,"(42, 8)",8,12:19:34,42,8
6,"(86, 89)",86,12:20:50,86,89
7,"(83, 48)",83,12:21:00,83,48
8,"(63, 3)",63,12:21:22,63,3
9,"(62, 11)",11,12:21:33,62,11
10,"(31, 44)",44,12:21:57,31,44
11,"(37, 90)",90,12:22:14,37,90
12,"(68, 18)",18,12:22:25,68,18
13,"(71, 7)",71,12:22:36,71,7
14,"(91, 49)",49,12:22:43,91,49
15,"(32, 70)",32,12:23:01,32,70
16,"(50, 25)",25,12:23:23,50,25
17,"(34, 28)",28,12:23:35,34,28
18,"(54, 61)",61,12:23:56,54,61
19,"(13, 47)",47,12:24:07,13,47
20,"(78, 9)",78,12:24:16,78,9
21,"(92, 87)",92,12:24:21,92,87
22,"(19, 53)",53,12:24:30,19,53
23,"(33, 77)",33,12:24:38,33,77
24,"(6, 12)",12,12:24:42,6,12
25,"(84, 80)",84,12:24:53,84,80
26,"(38, 36)",36,12:25:06,38,36
27,"(16, 75)",16,12:25:16,16,75
28,"(85, 26)",26,12:25:30,85,26
29,"(82, 22)",22,12:26:00,82,22
30,"(72, 56)",56,12:26:13,72,56
31,"(79, 0)",0,12:26:26,79,0
32,"(15, 73)",15,12:26:35,15,73
33,"(66, 65)",65,12:26:42,66,65
34,"(64, 58)",58,12:26:57,64,58
35,"(52, 21)",21,12:27:11,52,21
36,"(40, 55)",55,12:27:18,40,55
37,"(23, 17)",23,12:27:21,23,17
38,"(24, 46)",46,12:27:28,24,46
39,"(10, 88)",10,12:27:35,10,88
40,"(43, 39)",39,12:27:41,43,39
41,"(74, 81)",74,12:27:49,74,81
42,"(41, 14)",41,12:28:01,41,14
43,"(2, 59)",59,12:28:08,2,59
44,"(35, 4)",4,12:28:21,35,4
45,"(30, 5)",5,12:28:28,30,5
46,"(76, 60)",60,12:28:33,76,60
47,"(32, 93)",93,12:28:41,32,93
48,"(68, 21)",21,12:30:20,68,21
49,"(87, 45)",45,12:30:23,87,45
50,"(89, 31)",31,12:30:28,89,31
51,"(72, 74)",74,12:30:35,72,74
52,"(91, 34)",34,12:30:41,91,34
53,"(29, 35)",29,12:30:48,29,35
54,"(86, 53)",53,12:30:50,86,53
55,"(22, 75)",22,12:30:59,22,75
56,"(1, 58)",58,12:31:06,1,58
57,"(20, 49)",20,12:31:14,20,49
58,"(43, 33)",33,12:31:19,43,33
59,"(41, 92)",92,12:31:29,41,92
