User-ID;Text-ID;Frage;Antwort;richtige_Antwort
Peter;79;What happens if there is no response after the further 28 days? ;Right to buy application is closed.;Right to buy application is closed.
Peter;89;When did the author resume the system of logic?;1838;1837
Peter;67;What is used to identify health and wellbeing priorities? ;Joint Strategic Needs Assessment;Joint Strategic Needs Assessment
Peter;14;What distinguishes white chocolate from other types of chocolate? ;It contains no cocoa;It contains no cocoa
Peter;88;What is inconsistent with justice, according to the text? ;Justice itself.;Showing favor
Peter;58;What groups exist across the city for tenants and leaseholders? ;Both Tenants & Resident Association (TARA) and Leaseholder groups;Both Tenants & Resident Association (TARA) and Leaseholder groups
Peter;138;How are the two sections of the city connected?;By several bridges ;By several bridges 
Peter;37;What did Francois de la Boe Sylvius believe was the cause of cancer? ;Chemical processes and acidic lymph fluid.;Chemical processes and acidic lymph fluid.
Peter;113;What doctrine is the text referring to as being properly understood?;Doctrine of circumstances ;Doctrine of circumstances 
Peter;121;How was the city divided by the Allied powers in September?;Into four zones ;Into four zones 
Peter;0;What was the outcome of the depression mentioned in the text? ;It dissipated without any impact. ;It remained a small and disorganized depression. 
Peter;118;What is found upon closer scrutiny about ideas that seem to have a different origin?;They are derived from the same origin ;They are derived from the same origin 
Peter;44;What can a business do after receiving an interim authority notice?;Cease all licensable activities;Carry on any licensable activities allowed by the premises licence
Peter;4;What prevented Lightning Bar from continuing his racing career?;Injuries and illnesses. ;Injuries and illnesses. 
Peter;49;What options can be offered in rooms licensed for ceremonies?;Wedding packages only;Full wedding packages to ceremony and drinks reception
Peter;82;What conclusion does the text reject regarding the mind? ;The mind is invisible.;The mind is extended
Peter;54;When can workers from Making Space provide assistance? ;When the carer is not around.;When the carer is not around.
Peter;65;Where can more information be found about Sheffield's culture?;All of the above.;All of the above.
Peter;117;Which book did the speaker particularly enjoy during their boyhood?;The Adventures of Tom Sawyer ;Robinson Crusoe 
Peter;14;What distinguishes white chocolate from other types of chocolate? ;It contains no cocoa;It contains no cocoa
Peter;116;How do we know the influence of the will?;Through observation;Through consciousness 
Peter;96;What dilemma is presented in the text? ;The absence of religious dominance.;The absence of religious dominance.
Peter;56;In England, what percentage of the country can the public roam without staying on paths?;7%;7%
Peter;12;What gives the coconut flavor to the cake mentioned in the text?;Coconut water ;Coconut cream 
Peter;154;What is the history of the church mentioned? ;It began as a wooden church in the 5th century and was rebuilt in the 12th century;It began as a wooden church in the 5th century and was rebuilt in the 12th century
Peter;70;When did the miners' dispute begin? ;6 March 1984;6 March 1984
Peter;44;What can a business do after receiving an interim authority notice?;Apply for a permanent authority notice;Carry on any licensable activities allowed by the premises licence
Peter;85;What was the overall impression of the situation described? ;Encouraging;Discouraging
Peter;55;Which councils charge additional parish charges? ;Stocksbridge Town Council;All of the above.
Peter;145;What happened to many of Lisbon's residents?;They became rich ;They became rich 
Peter;131;Which theatre is facing Manila Bay? ;The renovated historic Metropolitan Theatre;The Folk Arts Theater 
Peter;92;What is the ideal of character described in the text?;To have a notable character;To be without any notable character.
Peter;102;What is a proper office of public authority according to the text? ;To prevent crime ;To guard against accidents 
Peter;142;What happened in Iraq in 1958? ;The country gained independence ;The monarchy was overthrown and the Republic of Iraq was established
Peter;78;What do many Government documents emphasize regarding children and young people?;The significance of giving them a say in matters affecting their lives.;The significance of giving them a say in matters affecting their lives.
Peter;68;What did an independent tree survey in 2006-07 conclude? ;Majority of street trees were over 75 years old;Majority of street trees were over 75 years old
Peter;2;What is the primary goal of the Federal Deposit Insurance Corporation (FDIC)?;To ensure the safety of people's money. ;To ensure the safety of people's money. 
Peter;9;Why do athletes, gymnasts, dancers, and martial artists perform stretching exercises?;To lengthen their ligaments and make their joints more supple.;To lengthen their ligaments and make their joints more supple.
Peter;152;What is notable about Prague? ;It is a centuries-old city with a wealth of historic landmarks;It is a centuries-old city with a wealth of historic landmarks
Peter;17;When was Byrd Station reopened? ;2009-2010 ;2009-2010 
Peter;24;What is the association of learning by ear with in the West?;Traditional and folk music;Traditional and folk music
Peter;33;What structures do algae lack compared to land plants? ;Phyllids (leaves) and rhizoids;Leaves, roots, and other organs
Peter;113;What doctrine is the text referring to as being properly understood?;Doctrine of circumstances ;Doctrine of circumstances 
Peter;128;What is the oldest university in Dublin? ;Trinity College ;Trinity College 
