,Score,Text
0,0.67742,"Meanwhile, on Raw, fans were immersed in the feud between WWF owner Vince McMahon and Steve Austin. "
1,0.1828,Dows is a city in franklin and wright counties of the U.S. state of Iowa. The population was 538 at the 2010 census. 
2,0.33333,"Dauenhauer died at her home in Juneau, Alaska on September 25, 2017 at the age of 90. "
3,0.60215,"The meetings of the Federal Council and the result of the votes taken are not open to the public, and the records remain sealed for 50 years."
4,0.92473,"After a four day pass the Brigade conducted its Send - Off Ceremony on the parade field in front of the III CORPS Headquarters on FT. Hood, after the Ceremony the first elements departed for Theater, arriving on 27 March 2008."
5,0.98925,"Following the moderate success of ""Whispering Grass"" on OKeh Records in 1953 Cole spent several months on the road with Johnny Coles and Benny Golson as the Earl Bostic band. "
6,0.45161,"""All That She Wants"" is a hit single from Swedish pop group Ace of Base. "
7,0.69892,He was looking at his old pads and skates that Eddie Dufour had arranged in Georges's corner. 
8,0.64516,"On August 31, 2011, the network became simply known as ESPN3. As part of the rebranding, ESPN3.com redirected to WatchESPN, formerly ESPN Networks, and alongside with simulcasts of ESPN, ESPN2, ESPNU, ESPN Goal Line, and ESPN Buzzer Beater. "
9,0.21505,"Tony can be seen bringing her flowers, walking her to class, and carrying her books-their relationship is progressing. "
10,0.66667,"At the time, it was known as the Year of the Consulship of Saturninus and Vespillo or, less frequently, year 735 ""Ab urbe condita"". "
11,0.37634,In February 1983 Carstens' decision was approved by the Federal Constitutional Court so that general elections could take place. 
12,0.62366,Andersen identified with the swallow as a migratory bird whose pattern of life his own traveling days were beginning to resemble.
13,0.93548,"Patriotism is generally understood to mean cultural attachment to one's homeland or devotion to one's country, although interpretations of the term vary with context, geography and philosophy."
14,0.6129,"In the original ''Star Wars'' trilogy, the character was the romantic interest of Han Solo and revealed as the twin sister of Luke Skywalker. In she was revealed as the daughter of Anakin Skywalker and Padmé Amidala. "
15,0.23656,"After being informed by her family that flowers and gifts were repeatedly being vandalized or disappearing from the grave site, even when chained down, a police officer investigated."
16,0.83871,In 1119 it was absorbed into the Guidi counts possessions. 
17,0.04301,"She was born in Detroit, Michigan."
18,0.5914,"Traditional viral culture has been generally superseded by shell vial culture, in which the sample is centrifuged onto a single layer of cells and viral growth is measured by antigen detection methods. "
