,candidates,winner,time,left,right
0,"(57, 51)",57,00:00:00,57,51
1,"(45, 69)",45,00:00:00,45,69
2,"(29, 93)",93,00:00:00,29,93
3,"(1, 67)",1,00:00:00,1,67
4,"(20, 27)",27,00:00:00,20,27
5,"(42, 8)",8,00:00:00,42,8
6,"(86, 89)",86,00:00:00,86,89
7,"(83, 48)",48,00:00:00,83,48
8,"(63, 3)",63,00:00:00,63,3
9,"(62, 11)",11,00:00:00,62,11
10,"(31, 44)",31,00:00:00,31,44
11,"(37, 90)",90,00:00:00,37,90
12,"(68, 18)",18,00:00:00,68,18
13,"(71, 7)",71,00:00:00,71,7
14,"(91, 49)",91,00:00:00,91,49
15,"(32, 70)",32,00:00:00,32,70
16,"(50, 25)",50,00:00:00,50,25
17,"(34, 28)",28,00:00:00,34,28
18,"(54, 61)",61,00:00:00,54,61
19,"(13, 47)",47,00:00:00,13,47
20,"(78, 9)",78,00:00:00,78,9
21,"(92, 87)",92,00:00:00,92,87
22,"(19, 53)",53,00:00:00,19,53
23,"(33, 77)",77,00:00:00,33,77
24,"(6, 12)",12,00:00:00,6,12
25,"(84, 80)",80,00:00:00,84,80
26,"(38, 36)",36,00:00:00,38,36
27,"(16, 75)",16,00:00:00,16,75
28,"(85, 26)",26,00:00:00,85,26
29,"(82, 22)",82,00:00:00,82,22
30,"(72, 56)",56,00:00:00,72,56
31,"(79, 0)",79,00:00:00,79,0
32,"(15, 73)",15,00:00:00,15,73
33,"(66, 65)",65,00:00:00,66,65
34,"(64, 58)",64,00:00:00,64,58
35,"(52, 21)",21,00:00:00,52,21
36,"(40, 55)",55,00:00:00,40,55
37,"(23, 17)",23,00:00:00,23,17
38,"(24, 46)",46,00:00:00,24,46
39,"(10, 88)",10,00:00:00,10,88
40,"(43, 39)",39,00:00:00,43,39
41,"(74, 81)",74,00:00:00,74,81
42,"(41, 14)",14,00:00:00,41,14
43,"(2, 59)",2,00:00:00,2,59
44,"(35, 4)",4,00:00:00,35,4
45,"(30, 5)",5,00:00:00,30,5
46,"(76, 60)",60,00:00:00,76,60
47,"(32, 93)",93,00:00:00,32,93
48,"(68, 21)",21,00:00:00,68,21
49,"(87, 45)",45,00:00:00,87,45
50,"(89, 31)",31,00:00:00,89,31
51,"(72, 74)",74,00:00:00,72,74
52,"(91, 34)",34,00:00:00,91,34
53,"(29, 35)",29,00:00:00,29,35
54,"(86, 53)",53,00:00:00,86,53
55,"(22, 75)",22,00:00:00,22,75
56,"(1, 58)",58,00:00:00,1,58
57,"(20, 49)",20,00:00:00,20,49
58,"(43, 33)",43,00:00:00,43,33
59,"(41, 92)",92,00:00:00,41,92
60,"(70, 16)",16,00:00:00,70,16
61,"(37, 6)",37,00:00:00,37,6
62,"(82, 11)",82,00:00:00,82,11
63,"(36, 46)",36,00:00:00,36,46
64,"(26, 47)",47,00:00:00,26,47
65,"(23, 30)",30,00:00:00,23,30
66,"(76, 7)",7,00:00:00,76,7
67,"(8, 51)",8,00:00:00,8,51
68,"(71, 62)",71,00:00:00,71,62
69,"(67, 24)",67,00:00:00,67,24
70,"(50, 79)",50,00:00:00,50,79
71,"(80, 5)",5,00:00:00,80,5
72,"(10, 27)",10,00:00:00,10,27
73,"(4, 78)",4,00:00:00,4,78
74,"(83, 12)",83,00:00:00,83,12
75,"(38, 60)",38,00:00:00,38,60
76,"(40, 77)",77,00:00:00,40,77
77,"(0, 17)",0,00:00:00,0,17
78,"(9, 54)",54,00:00:00,9,54
79,"(44, 52)",44,00:00:00,44,52
80,"(2, 69)",69,00:00:00,2,69
81,"(84, 3)",3,00:00:00,84,3
82,"(81, 66)",81,00:00:00,81,66
83,"(28, 25)",28,00:00:00,28,25
84,"(85, 64)",64,00:00:00,85,64
85,"(61, 63)",63,00:00:00,61,63
86,"(59, 57)",57,00:00:00,59,57
87,"(56, 39)",39,00:00:00,56,39
88,"(90, 73)",90,00:00:00,90,73
89,"(14, 65)",14,00:00:00,14,65
90,"(42, 19)",42,00:00:00,42,19
91,"(55, 15)",15,00:00:00,55,15
92,"(48, 13)",48,00:00:00,48,13
93,"(88, 18)",18,00:00:00,88,18
94,"(3, 79)",79,00:00:00,3,79
95,"(68, 30)",68,00:00:00,68,30
96,"(84, 12)",12,00:00:00,84,12
97,"(83, 45)",83,00:00:00,83,45
98,"(24, 5)",5,00:00:00,24,5
99,"(35, 11)",11,00:00:00,35,11
100,"(90, 47)",90,00:00:00,90,47
101,"(81, 64)",64,00:00:00,81,64
102,"(53, 91)",53,00:00:00,53,91
103,"(21, 22)",21,00:00:00,21,22
104,"(66, 19)",19,00:00:00,66,19
105,"(55, 78)",78,00:00:00,55,78
106,"(74, 4)",4,00:00:00,74,4
107,"(61, 6)",61,00:00:00,61,6
108,"(59, 43)",43,00:00:00,59,43
109,"(85, 40)",40,00:00:00,85,40
110,"(87, 38)",38,00:00:00,87,38
111,"(42, 76)",42,00:00:00,42,76
112,"(20, 51)",20,00:00:00,20,51
113,"(56, 44)",56,00:00:00,56,44
114,"(50, 18)",18,00:00:00,50,18
115,"(49, 46)",46,00:00:00,49,46
116,"(93, 86)",93,00:00:00,93,86
117,"(63, 58)",63,00:00:00,63,58
118,"(25, 23)",25,00:00:00,25,23
119,"(26, 73)",26,00:00:00,26,73
120,"(15, 8)",8,00:00:00,15,8
121,"(13, 77)",13,00:00:00,13,77
122,"(33, 52)",52,00:00:00,33,52
123,"(7, 69)",7,00:00:00,7,69
124,"(9, 48)",48,00:00:00,9,48
125,"(36, 70)",36,00:00:00,36,70
126,"(16, 88)",16,00:00:00,16,88
127,"(28, 89)",28,00:00:00,28,89
128,"(57, 71)",71,00:00:00,57,71
129,"(54, 10)",10,00:00:00,54,10
130,"(14, 92)",92,00:00:00,14,92
131,"(29, 60)",60,00:00:00,29,60
132,"(67, 41)",41,00:00:00,67,41
133,"(31, 1)",31,00:00:00,31,1
134,"(82, 32)",82,00:00:00,82,32
135,"(37, 34)",34,00:00:00,37,34
136,"(2, 39)",39,00:00:00,2,39
137,"(0, 27)",27,00:00:00,0,27
138,"(62, 65)",62,00:00:00,62,65
139,"(80, 72)",80,00:00:00,80,72
140,"(75, 17)",75,00:00:00,75,17
141,"(38, 28)",38,00:00:00,38,28
142,"(14, 56)",14,00:00:00,14,56
143,"(17, 46)",46,00:00:00,17,46
144,"(74, 9)",74,00:00:00,74,9
145,"(15, 69)",15,00:00:00,15,69
146,"(87, 77)",77,00:00:00,87,77
147,"(83, 4)",4,00:00:00,83,4
148,"(57, 21)",21,00:00:00,57,21
149,"(48, 35)",48,00:00:00,48,35
150,"(88, 33)",33,00:00:00,88,33
151,"(53, 78)",53,00:00:00,53,78
152,"(40, 24)",40,00:00:00,40,24
153,"(85, 71)",71,00:00:00,85,71
154,"(2, 89)",2,00:00:00,2,89
155,"(68, 55)",68,00:00:00,68,55
156,"(7, 43)",7,00:00:00,7,43
157,"(76, 51)",51,00:00:00,76,51
158,"(84, 3)",3,00:00:00,84,3
159,"(18, 67)",18,00:00:00,18,67
160,"(65, 27)",27,00:00:00,65,27
161,"(31, 8)",8,00:00:00,31,8
162,"(64, 12)",64,00:00:00,64,12
163,"(80, 0)",80,00:00:00,80,0
164,"(37, 82)",82,00:00:00,37,82
165,"(47, 19)",47,00:00:00,47,19
166,"(16, 25)",25,00:00:00,16,25
167,"(61, 62)",62,00:00:00,61,62
168,"(70, 45)",45,00:00:00,70,45
169,"(66, 29)",29,00:00:00,66,29
170,"(81, 32)",81,00:00:00,81,32
171,"(72, 42)",42,00:00:00,72,42
172,"(91, 92)",92,00:00:00,91,92
173,"(6, 36)",36,00:00:00,6,36
174,"(30, 75)",75,00:00:00,30,75
175,"(44, 26)",44,00:00:00,44,26
176,"(73, 39)",39,00:00:00,73,39
177,"(13, 1)",13,00:00:00,13,1
178,"(22, 49)",22,00:00:00,22,49
179,"(20, 79)",79,00:00:00,20,79
180,"(58, 41)",58,00:00:00,58,41
181,"(10, 50)",10,00:00:00,10,50
182,"(11, 54)",11,00:00:00,11,54
183,"(23, 86)",86,00:00:00,23,86
184,"(60, 59)",60,00:00:00,60,59
185,"(93, 34)",93,00:00:00,93,34
186,"(5, 52)",5,00:00:00,5,52
187,"(63, 90)",90,00:00:00,63,90
188,"(85, 40)",40,00:00:00,85,40
189,"(49, 23)",49,00:00:00,49,23
190,"(4, 16)",4,00:00:00,4,16
191,"(34, 53)",53,00:00:00,34,53
192,"(69, 81)",81,00:00:00,69,81
193,"(50, 93)",93,00:00:00,50,93
194,"(24, 59)",24,00:00:00,24,59
195,"(92, 46)",92,00:00:00,92,46
196,"(2, 26)",26,00:00:00,2,26
197,"(5, 57)",5,00:00:00,5,57
198,"(75, 61)",75,00:00:00,75,61
199,"(10, 11)",10,00:00:00,10,11
200,"(42, 86)",42,00:00:00,42,86
201,"(39, 14)",39,00:00:00,39,14
202,"(33, 89)",33,00:00:00,33,89
203,"(76, 25)",25,00:00:00,76,25
204,"(82, 68)",82,00:00:00,82,68
205,"(73, 28)",28,00:00:00,73,28
206,"(55, 74)",74,00:00:00,55,74
207,"(80, 9)",80,00:00:00,80,9
208,"(31, 43)",31,00:00:00,31,43
209,"(0, 35)",0,00:00:00,0,35
210,"(60, 1)",60,00:00:00,60,1
211,"(27, 66)",27,00:00:00,27,66
212,"(67, 6)",67,00:00:00,67,6
213,"(63, 22)",22,00:00:00,63,22
214,"(21, 15)",21,00:00:00,21,15
215,"(7, 17)",7,00:00:00,7,17
216,"(20, 65)",20,00:00:00,20,65
217,"(36, 32)",36,00:00:00,36,32
218,"(71, 87)",71,00:00:00,71,87
219,"(88, 64)",64,00:00:00,88,64
220,"(44, 37)",44,00:00:00,44,37
221,"(54, 47)",47,00:00:00,54,47
222,"(12, 58)",12,00:00:00,12,58
223,"(8, 70)",8,00:00:00,8,70
224,"(52, 77)",77,00:00:00,52,77
225,"(13, 3)",13,00:00:00,13,3
226,"(41, 83)",83,00:00:00,41,83
227,"(56, 78)",56,00:00:00,56,78
228,"(90, 18)",90,00:00:00,90,18
229,"(29, 19)",29,00:00:00,29,19
230,"(48, 91)",48,00:00:00,48,91
231,"(30, 45)",45,00:00:00,30,45
232,"(38, 51)",38,00:00:00,38,51
233,"(79, 84)",79,00:00:00,79,84
234,"(72, 62)",62,00:00:00,72,62
235,"(15, 46)",46,00:00:00,15,46
236,"(8, 2)",8,00:00:00,8,2
237,"(86, 19)",19,00:00:00,86,19
238,"(79, 60)",60,00:00:00,79,60
239,"(61, 63)",63,00:00:00,61,63
240,"(57, 18)",18,00:00:00,57,18
241,"(55, 80)",55,00:00:00,55,80
242,"(68, 22)",22,00:00:00,68,22
243,"(72, 23)",72,00:00:00,72,23
244,"(27, 64)",64,00:00:00,27,64
245,"(84, 85)",85,00:00:00,84,85
246,"(41, 45)",41,00:00:00,41,45
247,"(14, 20)",14,00:00:00,14,20
248,"(43, 4)",4,00:00:00,43,4
249,"(56, 7)",56,00:00:00,56,7
250,"(29, 44)",44,00:00:00,29,44
251,"(93, 51)",93,00:00:00,93,51
252,"(1, 71)",71,00:00:00,1,71
253,"(12, 28)",12,00:00:00,12,28
254,"(62, 88)",62,00:00:00,62,88
255,"(33, 77)",77,00:00:00,33,77
256,"(66, 39)",39,00:00:00,66,39
257,"(26, 52)",26,00:00:00,26,52
258,"(24, 9)",24,00:00:00,24,9
259,"(11, 75)",75,00:00:00,11,75
260,"(83, 76)",83,00:00:00,83,76
261,"(70, 10)",10,00:00:00,70,10
262,"(58, 92)",92,00:00:00,58,92
