User-ID;Text-ID;Frage;Antwort;richtige_Antwort
vikoooy;5;What additional benefit does the drug mentioned in the text provide to patients?;It reduces pain. ;It extends the time before needing breathing assistance.
vikoooy;142;What happened in Iraq in 1958? ;The monarchy was overthrown and the Republic of Iraq was established;The monarchy was overthrown and the Republic of Iraq was established
vikoooy;50;Under what circumstances should a child not go to school before or after an appointment?;If they are unwell;If they are unwell
vikoooy;112;What does the speaker concede about sounds?;They are independent of the mind;They have no real being without the mind 
vikoooy;47;What payment options are available with 24/7 account access?;Direct Debit, online payment, and e-billing.;Direct Debit, online payment, and e-billing.
vikoooy;90;What was not clear to the speaker regarding their potential impact?;Their influence as a member of the House of Commons;Their influence as a member of the House of Commons
vikoooy;110;How do most people view originality in thought and action, according to the text? ;They think they can do without it ;They think they can do without it 
vikoooy;61;What information is specified on the licence? ;License expiration date;Number of animals allowed and general conditions.
vikoooy;21;What is the primary cause of left heart failure mentioned in the text?;Narrowing of blood vessels;Pooling of blood in the lungs
vikoooy;113;What doctrine is the text referring to as being properly understood?;Doctrine of circumstances ;Doctrine of circumstances 
vikoooy;148;What is the city's role in the country? ;A center for banking and insurance, a major tourist site, and a transportation hub ;A center for banking and insurance, a major tourist site, and a transportation hub 
vikoooy;60;What happens after receiving an application? ;Compliance check and then sent to the Police for checks;Compliance check and then sent to the Police for checks
vikoooy;144;Where did large demonstrations in favor of democracy take place in 1989?;Red Square ;Wenceslas Square 
vikoooy;9;Why do athletes, gymnasts, dancers, and martial artists perform stretching exercises?;To lengthen their ligaments and make their joints more supple.;To lengthen their ligaments and make their joints more supple.
vikoooy;16;What is dolomite?;A type of sedimentary rock. ;A mineral composed of calcium magnesium carbonate.
vikoooy;127;Which city is the second largest in Russia?;St. Petersburg ;St. Petersburg 
vikoooy;53;How are provisional bookings handled? ;They require an in-person visit;They cannot be made over the telephone
vikoooy;133;What is the city's role in the country?;Chief port, largest city, and commercial, political, and tourist centre ;Chief port, largest city, and commercial, political, and tourist centre 
vikoooy;34;Describe the coloration of the wings of the insect mentioned in the text.;Fore wings are dark brownish-black, hind wings are orange.;Fore wings are dark brownish-black, hind wings are orange.
vikoooy;1;What are the features of the new Kindle 2, according to the early review by iFixIt?;2GB main memory, 600 MHz processor, and 1500 mAh lithium-ion battery.;532 MHz processor, 2GB main memory, and 1530 mAh lithium polymer battery. 
vikoooy;126;What is the Ringstrasse, or Ring, surrounded by? ;Grand buildings, monuments, and parks ;Grand buildings, monuments, and parks 
vikoooy;159;What happened to many people in the city? ;They were killed or sent to concentration camps and killed;They were killed or sent to concentration camps and killed
vikoooy;123;Where is the city located?;On the eastern shore of Manila Bay ;On the eastern shore of Manila Bay 
vikoooy;102;What is a proper office of public authority according to the text? ;To prevent crime ;To guard against accidents 
vikoooy;48;What was the original character of the area described? ;Agricultural;Industrial
vikoooy;137;What accelerated the industrial growth in the city during the 19th century?;Advances in technology and medicine;Improvements in communications and extension of trade 
vikoooy;68;What did an independent tree survey in 2006-07 conclude? ;Majority of street trees were over 75 years old;Majority of street trees were over 75 years old
vikoooy;108;What rendered inevitable the substitution of a different ideal of morality?;Changes in the general state of the species ;Changes in the general state of the species 
vikoooy;39;When was Ashland Coal, Inc. formed?;1975;1975
vikoooy;145;What happened to many of Lisbon's residents?;They moved to rural areas;They became rich 
vikoooy;140;What divides the city into two sections?;A river ;A river 
vikoooy;83;How does the text suggest complex ideas can be well known?;By intuition;Through definition
vikoooy;102;What is a proper office of public authority according to the text? ;To prevent crime ;To guard against accidents 
vikoooy;92;What is the ideal of character described in the text?;To maim every part of human nature;To be without any notable character.
vikoooy;18;What are the immediate effects of being sprayed with pepper spray? ;Improved breathing. ;Eye closure, difficulty breathing, runny nose, and cough. 
vikoooy;71;When were the conservation area evaluation and management proposals adopted?;6 March 1984;19th March 2007
vikoooy;24;What is the association of learning by ear with in the West?;Traditional and folk music;Traditional and folk music
vikoooy;94;What fate does the text predict for the subject?;Stability and prosperity;Destruction and regeneration
vikoooy;129;When were the first settlements on the site of Jakarta established?;5th century AD ;5th century AD 
vikoooy;95;How does the speaker compare their own perception? ;Less accurate and limited;More perfect and comprehensive
vikoooy;80;According to the text, what has always been the rule in the human mind?;Rationality;One-sidedness
vikoooy;93;How did the speaker approach reading the text? ;With enthusiasm;With neutrality.
vikoooy;1;What are the features of the new Kindle 2, according to the early review by iFixIt?;2GB main memory, 600 MHz processor, and 1500 mAh lithium-ion battery.;532 MHz processor, 2GB main memory, and 1530 mAh lithium polymer battery. 
vikoooy;135;Where are concerts regularly given? ;Tchaikovsky Conservatory ;Tchaikovsky Conservatory 
vikoooy;69;What was set up under the 1834 Poor Law Amendment Act? ;Public libraries;Institutions for the sick and infirm poor.
vikoooy;150;What still stands in the city? ;Several centuries-old mosques ;Several centuries-old mosques 
vikoooy;153;What is another industry in the city? ;Movie making ;Movie making 
vikoooy;26;What effect does starch have on dirt and sweat? ;It attracts dirt and sweat;It repels dirt and sweat
vikoooy;149;What happened during the Persian Gulf War of 1991? ;The city declared independence ;The United States and its allies dropped bombs on the city
vikoooy;110;How do most people view originality in thought and action, according to the text? ;They think they can do without it ;They think they can do without it 
vikoooy;43;Who is responsible for paying Council Tax in a rented property?;The landlord;The tenant
vikoooy;73;What is recommended when reporting issues with damp & mould?;Provide a minimum of 3 pictures;Provide a minimum of 3 pictures
vikoooy;117;Which book did the speaker particularly enjoy during their boyhood?;Robinson Crusoe ;Robinson Crusoe 
vikoooy;10;What is the role of parasitic wasps in agricultural pest control?;They prey on pest insects and have little impact on crops. ;They prey on pest insects and have little impact on crops. 
vikoooy;54;When can workers from Making Space provide assistance? ;When the carer is not around.;When the carer is not around.
vikoooy;9;Why do athletes, gymnasts, dancers, and martial artists perform stretching exercises?;To lengthen their ligaments and make their joints more supple.;To lengthen their ligaments and make their joints more supple.
vikoooy;46;What is the purpose of using an inventory in a tenancy agreement? ;To encourage the tenant to look after provided items.;To encourage the tenant to look after provided items.
vikoooy;85;What was the overall impression of the situation described? ;Discouraging;Discouraging
vikoooy;156;What is notable about some of the streets? ;They are so steep that they give way to stairs, cable cars, and even an elevator;They are so steep that they give way to stairs, cable cars, and even an elevator
vikoooy;151;What do the city's factories produce? ;Food, beverages, chemicals, textiles, and pharmaceuticals ;Food, beverages, chemicals, textiles, and pharmaceuticals 
vikoooy;12;What gives the coconut flavor to the cake mentioned in the text?;Coconut cream ;Coconut cream 
vikoooy;21;What is the primary cause of left heart failure mentioned in the text?;Inefficient blood clotting;Pooling of blood in the lungs
vikoooy;16;What is dolomite?;A type of sedimentary rock. ;A mineral composed of calcium magnesium carbonate.
vikoooy;121;How was the city divided by the Allied powers in September?;Into four zones ;Into four zones 
vikoooy;30;What was Wilhelm Fabry's belief about the cause of breast cancer?;Milk clot in a mammary duct. ;Milk clot in a mammary duct. 
vikoooy;113;What doctrine is the text referring to as being properly understood?;Doctrine of circumstances ;Doctrine of circumstances 
vikoooy;35;"What is the density of the ""snowman"" model asteroid according to the study? ";2.0 ± 0.3 g/cm;1.8 ± 0.2 g/cm. 
vikoooy;116;How do we know the influence of the will?;Through experimentation ;Through consciousness 
vikoooy;119;What would have prevented Christianity from expanding according to the text?;Roman opposition;Remaining an obscure sect of the Hebrews
vikoooy;20;What recognition did JVL receive?;Awards for academic excellence;Awards from various international organizations. 
vikoooy;108;What rendered inevitable the substitution of a different ideal of morality?;Technological advancements ;Changes in the general state of the species 
