User-ID;Text-ID;Frage;Antwort;richtige_Antwort
ArthMa;145;What happened to many of Lisbon's residents?;They emigrated to other countries ;They became rich 
ArthMa;42;What must people making money from pretending to be letting agents join?;An approved redress scheme.;An approved redress scheme.
ArthMa;70;When did the miners' dispute begin? ;20th March 1984;6 March 1984
ArthMa;141;Where is Baghdad situated in Iraq? ;Near the center ;Near the center 
ArthMa;34;Describe the coloration of the wings of the insect mentioned in the text.;Fore wings are dark brownish-black, hind wings are orange.;Fore wings are dark brownish-black, hind wings are orange.
ArthMa;122;What remains from the medieval period in the Old Town? ;The Old Market Square and the Gothic St. John's Cathedral ;The Barbican and the Gothic St. John's Cathedral 
ArthMa;43;Who is responsible for paying Council Tax in a rented property?;The local government;The tenant
ArthMa;157;What was done to parts of the city? ;They were demolished to make way for new construction;They were restored, although progress was slow
ArthMa;7;What phenomenon is compared to pesticide resistance in plants and insects in the text?;Antibiotic resistance. ;Antibiotic resistance. 
ArthMa;137;What accelerated the industrial growth in the city during the 19th century?;Advances in technology and medicine;Improvements in communications and extension of trade 
ArthMa;29;How does the MD degree in other countries compare to other academic degrees?;It is equivalent to a PhD or a higher doctorate;It is equivalent to a PhD or a higher doctorate
ArthMa;148;What is the city's role in the country? ;A center for banking and insurance, a major tourist site, and a transportation hub ;A center for banking and insurance, a major tourist site, and a transportation hub 
ArthMa;87;What assertion does the text make about Wordsworth? ;He was the greatest poet of all time;There have been greater poets than Wordsworth.
ArthMa;62;What does the initiative mentioned aim to support? ;Workforce Diversity Strategy;Workforce Diversity Strategy
ArthMa;120;When were Old Havana and its fortifications added to UNESCO's World Heritage List?;1982;1982
ArthMa;84;What did the author know about existing society? ;It was in a deplorable state;It was in a deplorable state
ArthMa;133;What is the city's role in the country?;Financial and educational centre ;Chief port, largest city, and commercial, political, and tourist centre 
ArthMa;95;How does the speaker compare their own perception? ;Equal in scope and depth;More perfect and comprehensive
ArthMa;86;What is described as the most conspicuous feature of history? ;Struggle between liberty and authority;Struggle between liberty and authority
ArthMa;117;Which book did the speaker particularly enjoy during their boyhood?;The Adventures of Tom Sawyer ;Robinson Crusoe 
ArthMa;61;What information is specified on the licence? ;Number of animals allowed and general conditions.;Number of animals allowed and general conditions.
ArthMa;116;How do we know the influence of the will?;Through consciousness ;Through consciousness 
ArthMa;21;What is the primary cause of left heart failure mentioned in the text?;Pooling of blood in the lungs;Pooling of blood in the lungs
ArthMa;5;What additional benefit does the drug mentioned in the text provide to patients?;It reduces pain. ;It extends the time before needing breathing assistance.
ArthMa;6;What part of the body is the structure mentioned in the text attached to?;Frenulum clitoridis. ;Frenulum clitoridis. 
ArthMa;75;What is the main difference in the procedure? ;Building Control formally assesses information.;Building Notice route involves less paperwork
ArthMa;9;Why do athletes, gymnasts, dancers, and martial artists perform stretching exercises?;To improve cardiovascular health.;To lengthen their ligaments and make their joints more supple.
ArthMa;15;What action must the governor of the affected state take for FEMA and the federal government to respond to a disaster? ;Declare a state of emergency. ;Declare a state of emergency. 
ArthMa;113;What doctrine is the text referring to as being properly understood?;Doctrine of reality ;Doctrine of circumstances 
ArthMa;77;What happened to most wards during the process? ;They were merged;They kept their name and electorate
ArthMa;121;How was the city divided by the Allied powers in September?;Into four zones ;Into four zones 
ArthMa;92;What is the ideal of character described in the text?;To maim every part of human nature;To be without any notable character.
ArthMa;102;What is a proper office of public authority according to the text? ;To prevent crime ;To guard against accidents 
ArthMa;56;In England, what percentage of the country can the public roam without staying on paths?;7%;7%
ArthMa;72;Why were the maps created?;To show areas of Access Land in Sheffield.;To show areas of Access Land in Sheffield.
ArthMa;32;What is the middle layer of the heart called?;Endocardium;Myocardium
