User-ID;Text-ID;Frage;Antwort;richtige_Antwort
Kaffeetrinker;32;What is the middle layer of the heart called?;Myocardium;Myocardium
Kaffeetrinker;18;What are the immediate effects of being sprayed with pepper spray? ;Eye closure, difficulty breathing, runny nose, and cough. ;Eye closure, difficulty breathing, runny nose, and cough. 
Kaffeetrinker;112;What does the speaker concede about sounds?;They are pleasant;They have no real being without the mind 
Kaffeetrinker;141;Where is Baghdad situated in Iraq? ;Near the center ;Near the center 
Kaffeetrinker;58;What groups exist across the city for tenants and leaseholders? ;Both Tenants & Resident Association (TARA) and Leaseholder groups;Both Tenants & Resident Association (TARA) and Leaseholder groups
Kaffeetrinker;52;What planning approach covers the business rate relief sites? ;Detailed planning applications;Local Development Order.
Kaffeetrinker;43;Who is responsible for paying Council Tax in a rented property?;The landlord;The tenant
Kaffeetrinker;157;What was done to parts of the city? ;They were demolished to make way for new construction;They were restored, although progress was slow
Kaffeetrinker;69;What was set up under the 1834 Poor Law Amendment Act? ;Institutions for the sick and infirm poor.;Institutions for the sick and infirm poor.
Kaffeetrinker;1;What are the features of the new Kindle 2, according to the early review by iFixIt?;532 MHz processor, 2GB main memory, and 1530 mAh lithium polymer battery. ;532 MHz processor, 2GB main memory, and 1530 mAh lithium polymer battery. 
Kaffeetrinker;6;What part of the body is the structure mentioned in the text attached to?;Liver;Frenulum clitoridis. 
Kaffeetrinker;155;What is to the north of Lisbon's central commercial district?;The Cidade Baixa (Lower City;The Cidade Baixa (Lower City
Kaffeetrinker;36;What was the immediate action taken against the individual mentioned in the text?;Immediate evacuation;Immediate arrest
Kaffeetrinker;66;What type of areas does the mentioned location have?;Residential only. ;Both residential and commercial/retail
Kaffeetrinker;120;When were Old Havana and its fortifications added to UNESCO's World Heritage List?;1982;1982
Kaffeetrinker;159;What happened to many people in the city? ;They were killed or sent to concentration camps and killed;They were killed or sent to concentration camps and killed
Kaffeetrinker;82;What conclusion does the text reject regarding the mind? ;The mind is extended;The mind is extended
Kaffeetrinker;116;How do we know the influence of the will?;Through observation;Through consciousness 
Kaffeetrinker;142;What happened in Iraq in 1958? ;The monarchy was overthrown and the Republic of Iraq was established;The monarchy was overthrown and the Republic of Iraq was established
Kaffeetrinker;3;What are the ingredients of the filling mentioned in the text? ;Mashed sweet potatoes, milk, sugar, eggs, and flavoring.;Mashed sweet potatoes, milk, sugar, eggs, and flavoring.
Kaffeetrinker;4;What prevented Lightning Bar from continuing his racing career?;Old age. ;Injuries and illnesses. 
Kaffeetrinker;65;Where can more information be found about Sheffield's culture?;Sheffield Culture Consortium website only;All of the above.
Kaffeetrinker;38;Which cells contain granules that can lead to the lysis of neighboring cells? ;Neurons;White blood cells. 
Kaffeetrinker;154;What is the history of the church mentioned? ;It was originally a mosque converted into a church ;It began as a wooden church in the 5th century and was rebuilt in the 12th century
Kaffeetrinker;20;What recognition did JVL receive?;Awards from various international organizations. ;Awards from various international organizations. 
Kaffeetrinker;13;Why must lithium be stored in petroleum jelly? ;To prevent it from evaporating.;To protect it from moisture. 
Kaffeetrinker;71;When were the conservation area evaluation and management proposals adopted?;6 March 1984;19th March 2007
Kaffeetrinker;85;What was the overall impression of the situation described? ;Neutral;Discouraging
Kaffeetrinker;21;What is the primary cause of left heart failure mentioned in the text?;Pooling of blood in the liver;Pooling of blood in the lungs
Kaffeetrinker;130;What are the main industries in the city? ;Tourism and finance ;Construction and the production of chemicals, plastics, cement, and yarns and textiles 
Kaffeetrinker;65;Where can more information be found about Sheffield's culture?;Sheffield Creative Guild website only. ;All of the above.
Kaffeetrinker;149;What happened during the Persian Gulf War of 1991? ;The city was captured by Iraqi forces ;The United States and its allies dropped bombs on the city
Kaffeetrinker;14;What distinguishes white chocolate from other types of chocolate? ;It contains no cocoa;It contains no cocoa
Kaffeetrinker;44;What can a business do after receiving an interim authority notice?;Carry on any licensable activities allowed by the premises licence;Carry on any licensable activities allowed by the premises licence
Kaffeetrinker;9;Why do athletes, gymnasts, dancers, and martial artists perform stretching exercises?;To build muscle mass. ;To lengthen their ligaments and make their joints more supple.
Kaffeetrinker;16;What is dolomite?;A type of metamorphic rock;A mineral composed of calcium magnesium carbonate.
Kaffeetrinker;133;What is the city's role in the country?;Financial and educational centre ;Chief port, largest city, and commercial, political, and tourist centre 
Kaffeetrinker;120;When were Old Havana and its fortifications added to UNESCO's World Heritage List?;1982;1982
Kaffeetrinker;24;What is the association of learning by ear with in the West?;Traditional and folk music;Traditional and folk music
Kaffeetrinker;127;Which city is the second largest in Russia?;St. Petersburg ;St. Petersburg 
Kaffeetrinker;128;What is the oldest university in Dublin? ;Trinity College ;Trinity College 
Kaffeetrinker;137;What accelerated the industrial growth in the city during the 19th century?;Advances in technology and medicine;Improvements in communications and extension of trade 
Kaffeetrinker;41;What was Samuel Holberry sentenced to prison for? ;Assault;Sedition
Kaffeetrinker;103;How did he consider Butler's argument? ;Conclusive ;Conclusive 
Kaffeetrinker;122;What remains from the medieval period in the Old Town? ;The Barbican and the Gothic St. John's Cathedral ;The Barbican and the Gothic St. John's Cathedral 
Kaffeetrinker;26;What effect does starch have on dirt and sweat? ;It breaks down dirt and sweat.;It repels dirt and sweat
Kaffeetrinker;116;How do we know the influence of the will?;Through observation;Through consciousness 
Kaffeetrinker;86;What is described as the most conspicuous feature of history? ;Struggle between liberty and authority;Struggle between liberty and authority
Kaffeetrinker;0;What was the outcome of the depression mentioned in the text? ;It dissipated without any impact. ;It remained a small and disorganized depression. 
