,candidates,winner,time,left,right
0,"(57, 51)",57,11:08:12,57,51
1,"(45, 69)",69,11:08:13,45,69
2,"(29, 93)",93,11:08:14,29,93
3,"(1, 67)",67,11:08:15,1,67
4,"(20, 27)",27,11:08:16,20,27
5,"(42, 8)",8,11:08:16,42,8
6,"(86, 89)",89,11:08:17,86,89
7,"(83, 48)",83,11:08:18,83,48
8,"(63, 3)",63,11:08:18,63,3
9,"(62, 11)",11,11:08:19,62,11
10,"(31, 44)",44,11:08:20,31,44
11,"(37, 90)",90,11:08:21,37,90
12,"(68, 18)",18,11:08:23,68,18
13,"(71, 7)",7,11:08:24,71,7
14,"(91, 49)",91,11:08:25,91,49
15,"(32, 70)",32,11:08:26,32,70
16,"(50, 25)",50,11:08:27,50,25
17,"(34, 28)",28,11:08:28,34,28
18,"(54, 61)",61,11:08:29,54,61
19,"(13, 47)",47,11:08:29,13,47
20,"(78, 9)",78,11:08:30,78,9
21,"(92, 87)",92,11:08:31,92,87
22,"(19, 53)",53,11:08:33,19,53
23,"(33, 77)",77,11:08:34,33,77
24,"(6, 12)",12,11:08:35,6,12
25,"(84, 80)",80,11:08:36,84,80
26,"(38, 36)",36,11:08:37,38,36
27,"(16, 75)",75,11:08:38,16,75
28,"(85, 26)",85,11:08:40,85,26
29,"(82, 22)",82,11:08:41,82,22
30,"(72, 56)",56,11:08:42,72,56
31,"(79, 0)",0,11:08:44,79,0
32,"(15, 73)",15,11:08:44,15,73
33,"(66, 65)",65,11:08:45,66,65
34,"(64, 58)",64,11:08:46,64,58
35,"(52, 21)",21,11:08:47,52,21
36,"(40, 55)",55,11:08:48,40,55
37,"(23, 17)",23,11:08:49,23,17
38,"(24, 46)",46,11:08:50,24,46
39,"(10, 88)",10,11:08:55,10,88
40,"(43, 39)",39,11:08:56,43,39
41,"(74, 81)",74,11:08:58,74,81
42,"(41, 14)",14,11:08:59,41,14
43,"(2, 59)",59,11:09:00,2,59
44,"(35, 4)",4,11:09:01,35,4
45,"(30, 5)",5,11:09:01,30,5
46,"(76, 60)",60,11:09:02,76,60
47,"(32, 93)",93,11:09:04,32,93
48,"(68, 21)",21,11:09:05,68,21
49,"(87, 45)",45,11:09:06,87,45
50,"(89, 31)",31,11:09:07,89,31
51,"(72, 74)",74,11:09:09,72,74
52,"(91, 34)",34,11:09:10,91,34
53,"(29, 35)",35,11:09:10,29,35
54,"(86, 53)",53,11:09:11,86,53
55,"(22, 75)",22,11:09:12,22,75
56,"(1, 58)",58,11:09:13,1,58
57,"(20, 49)",49,11:09:14,20,49
58,"(43, 33)",33,11:09:16,43,33
59,"(41, 92)",92,11:09:17,41,92
60,"(70, 16)",16,11:09:17,70,16
61,"(37, 6)",6,11:09:18,37,6
62,"(82, 11)",82,11:09:19,82,11
63,"(36, 46)",36,11:09:20,36,46
64,"(26, 47)",47,11:09:20,26,47
65,"(23, 30)",30,11:09:22,23,30
66,"(76, 7)",7,11:09:22,76,7
67,"(8, 51)",8,11:09:24,8,51
68,"(71, 62)",62,11:09:25,71,62
69,"(67, 24)",67,11:09:25,67,24
70,"(50, 79)",50,11:09:26,50,79
71,"(80, 5)",5,11:09:27,80,5
72,"(10, 27)",10,11:09:28,10,27
73,"(4, 78)",4,11:09:29,4,78
74,"(83, 12)",83,11:09:30,83,12
75,"(38, 60)",60,11:09:30,38,60
76,"(40, 77)",77,11:09:31,40,77
77,"(0, 17)",0,11:09:32,0,17
78,"(9, 54)",54,11:09:33,9,54
79,"(44, 52)",44,11:09:34,44,52
80,"(2, 69)",69,11:09:34,2,69
81,"(84, 3)",3,11:09:36,84,3
82,"(81, 66)",81,11:09:37,81,66
83,"(28, 25)",25,11:09:38,28,25
84,"(85, 64)",64,11:09:39,85,64
85,"(61, 63)",63,11:09:40,61,63
86,"(59, 57)",57,11:09:41,59,57
87,"(56, 39)",39,11:09:42,56,39
88,"(90, 73)",90,11:09:44,90,73
89,"(14, 65)",65,11:09:44,14,65
90,"(42, 19)",19,11:09:45,42,19
91,"(55, 15)",15,11:09:45,55,15
92,"(48, 13)",13,11:09:46,48,13
93,"(88, 18)",18,11:09:47,88,18
94,"(3, 79)",79,11:09:48,3,79
95,"(68, 30)",30,11:09:49,68,30
96,"(84, 12)",12,11:09:49,84,12
97,"(83, 45)",83,11:09:55,83,45
98,"(24, 5)",5,11:09:56,24,5
99,"(35, 11)",11,11:09:57,35,11
100,"(90, 47)",90,11:09:58,90,47
101,"(81, 64)",64,11:09:58,81,64
102,"(53, 91)",53,11:09:59,53,91
103,"(21, 22)",22,11:10:00,21,22
104,"(66, 19)",19,11:10:00,66,19
105,"(55, 78)",78,11:10:01,55,78
106,"(74, 4)",4,11:10:02,74,4
107,"(61, 6)",61,11:10:02,61,6
108,"(59, 43)",43,11:10:03,59,43
109,"(85, 40)",85,11:10:05,85,40
110,"(87, 38)",38,11:10:05,87,38
111,"(42, 76)",42,11:10:06,42,76
112,"(20, 51)",51,11:10:07,20,51
113,"(56, 44)",44,11:10:09,56,44
114,"(50, 18)",18,11:10:10,50,18
115,"(49, 46)",46,11:10:10,49,46
116,"(93, 86)",93,11:10:11,93,86
117,"(63, 58)",63,11:10:12,63,58
118,"(25, 23)",25,11:10:12,25,23
119,"(26, 73)",26,11:10:13,26,73
120,"(15, 8)",8,11:10:15,15,8
121,"(13, 77)",77,11:10:16,13,77
122,"(33, 52)",52,11:10:16,33,52
123,"(7, 69)",69,11:10:17,7,69
124,"(9, 48)",48,11:10:19,9,48
125,"(36, 70)",36,11:10:20,36,70
126,"(16, 88)",16,11:10:20,16,88
127,"(28, 89)",28,11:10:21,28,89
128,"(57, 71)",71,11:10:22,57,71
129,"(54, 10)",10,11:10:22,54,10
130,"(14, 92)",92,11:10:25,14,92
131,"(29, 60)",60,11:10:25,29,60
132,"(67, 41)",41,11:10:26,67,41
133,"(31, 1)",31,11:10:27,31,1
134,"(82, 32)",82,11:10:27,82,32
135,"(37, 34)",34,11:10:28,37,34
136,"(2, 39)",39,11:10:29,2,39
137,"(0, 27)",27,11:10:29,0,27
138,"(62, 65)",65,11:10:30,62,65
139,"(80, 72)",72,11:10:30,80,72
140,"(75, 17)",75,11:10:31,75,17
141,"(38, 28)",28,11:10:32,38,28
142,"(14, 56)",56,11:10:33,14,56
143,"(17, 46)",46,11:10:34,17,46
144,"(74, 9)",74,11:10:35,74,9
145,"(15, 69)",69,11:10:36,15,69
146,"(87, 77)",77,11:10:36,87,77
147,"(83, 4)",4,11:10:37,83,4
148,"(57, 21)",21,11:10:38,57,21
149,"(48, 35)",35,11:10:39,48,35
150,"(88, 33)",33,11:10:40,88,33
151,"(53, 78)",53,11:10:43,53,78
152,"(40, 24)",24,11:10:44,40,24
153,"(85, 71)",71,11:10:46,85,71
154,"(2, 89)",89,11:10:46,2,89
155,"(68, 55)",55,11:10:47,68,55
156,"(7, 43)",7,11:10:47,7,43
157,"(76, 51)",51,11:10:48,76,51
158,"(84, 3)",3,11:10:49,84,3
159,"(18, 67)",18,11:10:51,18,67
160,"(65, 27)",27,11:10:52,65,27
161,"(31, 8)",8,11:10:52,31,8
162,"(64, 12)",64,11:10:54,64,12
163,"(80, 0)",80,11:10:54,80,0
164,"(37, 82)",82,11:10:55,37,82
165,"(47, 19)",47,11:10:56,47,19
166,"(16, 25)",25,11:10:57,16,25
167,"(61, 62)",62,11:10:58,61,62
168,"(70, 45)",45,11:10:58,70,45
169,"(66, 29)",29,11:11:01,66,29
170,"(81, 32)",81,11:11:02,81,32
171,"(72, 42)",42,11:11:04,72,42
172,"(91, 92)",92,11:11:05,91,92
173,"(6, 36)",36,11:11:06,6,36
174,"(30, 75)",75,11:11:06,30,75
175,"(44, 26)",26,11:11:07,44,26
176,"(73, 39)",39,11:11:08,73,39
177,"(13, 1)",13,11:11:09,13,1
178,"(22, 49)",22,11:11:11,22,49
179,"(20, 79)",79,11:11:11,20,79
180,"(58, 41)",41,11:11:12,58,41
181,"(10, 50)",10,11:11:12,10,50
182,"(11, 54)",54,11:11:13,11,54
183,"(23, 86)",86,11:11:15,23,86
184,"(60, 59)",60,11:11:16,60,59
185,"(93, 34)",34,11:11:16,93,34
186,"(5, 52)",5,11:11:17,5,52
187,"(63, 90)",90,11:11:18,63,90
188,"(85, 40)",85,11:11:18,85,40
189,"(49, 23)",49,11:11:19,49,23
190,"(4, 16)",4,11:11:20,4,16
191,"(34, 53)",53,11:11:23,34,53
192,"(69, 81)",81,11:11:24,69,81
193,"(50, 93)",50,11:11:25,50,93
194,"(24, 59)",59,11:11:26,24,59
195,"(92, 46)",92,11:11:27,92,46
196,"(2, 26)",26,11:11:29,2,26
197,"(5, 57)",5,11:11:31,5,57
198,"(75, 61)",75,11:11:32,75,61
199,"(10, 11)",10,11:11:32,10,11
200,"(42, 86)",86,11:11:33,42,86
201,"(39, 14)",39,11:11:34,39,14
202,"(33, 89)",89,11:11:35,33,89
203,"(76, 25)",25,11:11:37,76,25
204,"(82, 68)",82,11:11:38,82,68
205,"(73, 28)",28,11:11:39,73,28
206,"(55, 74)",74,11:11:39,55,74
207,"(80, 9)",80,11:11:40,80,9
208,"(31, 43)",43,11:11:41,31,43
209,"(0, 35)",35,11:11:42,0,35
210,"(60, 1)",60,11:11:43,60,1
211,"(27, 66)",27,11:11:43,27,66
212,"(67, 6)",67,11:11:44,67,6
213,"(63, 22)",22,11:11:45,63,22
214,"(21, 15)",15,11:11:46,21,15
215,"(7, 17)",7,11:11:47,7,17
216,"(20, 65)",65,11:11:48,20,65
217,"(36, 32)",36,11:11:48,36,32
218,"(71, 87)",71,11:11:49,71,87
219,"(88, 64)",64,11:11:50,88,64
220,"(44, 37)",44,11:11:52,44,37
221,"(54, 47)",47,11:11:53,54,47
222,"(12, 58)",12,11:11:54,12,58
223,"(8, 70)",8,11:11:54,8,70
224,"(52, 77)",77,11:11:55,52,77
225,"(13, 3)",3,11:11:56,13,3
226,"(41, 83)",83,11:11:56,41,83
227,"(56, 78)",56,11:11:57,56,78
228,"(90, 18)",90,11:11:59,90,18
