,candidates,winner,time,left,right
0,"(57, 51)",57,15:45:44,57,51
1,"(45, 69)",45,15:46:17,45,69
2,"(29, 93)",29,15:46:59,29,93
3,"(1, 67)",1,15:47:33,1,67
4,"(20, 27)",27,15:48:15,20,27
5,"(42, 8)",8,15:49:37,42,8
6,"(86, 89)",89,20:29:51,86,89
7,"(83, 48)",48,20:30:33,83,48
8,"(63, 3)",63,20:31:24,63,3
9,"(62, 11)",11,20:31:56,62,11
10,"(31, 44)",31,20:33:56,31,44
11,"(37, 90)",90,20:34:11,37,90
12,"(68, 18)",18,20:36:09,68,18
13,"(71, 7)",7,20:36:47,71,7
14,"(91, 49)",49,20:37:09,91,49
15,"(32, 70)",32,20:39:41,32,70
16,"(50, 25)",50,20:39:59,50,25
17,"(34, 28)",34,20:43:15,34,28
18,"(54, 61)",54,20:43:41,54,61
19,"(13, 47)",13,20:44:08,13,47
20,"(78, 9)",78,20:44:25,78,9
21,"(92, 87)",92,20:44:32,92,87
22,"(19, 53)",53,20:44:55,19,53
23,"(33, 77)",33,20:45:19,33,77
24,"(6, 12)",12,20:45:26,6,12
25,"(84, 80)",80,20:45:43,84,80
26,"(38, 36)",36,20:47:19,38,36
27,"(16, 75)",16,20:48:58,16,75
28,"(85, 26)",26,20:51:36,85,26
29,"(82, 22)",82,20:52:01,82,22
30,"(72, 56)",72,20:52:24,72,56
31,"(79, 0)",0,20:52:49,79,0
32,"(15, 73)",15,20:53:10,15,73
33,"(66, 65)",66,20:53:25,66,65
34,"(64, 58)",58,20:53:51,64,58
35,"(52, 21)",52,20:55:48,52,21
36,"(40, 55)",55,20:56:27,40,55
37,"(23, 17)",23,20:56:34,23,17
38,"(24, 46)",46,20:58:37,24,46
39,"(10, 88)",88,20:59:04,10,88
40,"(43, 39)",39,20:59:15,43,39
41,"(74, 81)",81,21:00:16,74,81
42,"(41, 14)",41,21:00:54,41,14
43,"(2, 59)",2,21:01:03,2,59
44,"(35, 4)",4,21:01:45,35,4
45,"(30, 5)",5,21:02:05,30,5
46,"(76, 60)",60,21:02:09,76,60
47,"(32, 93)",32,21:04:51,32,93
48,"(68, 21)",21,21:07:05,68,21
49,"(87, 45)",45,21:07:16,87,45
50,"(89, 31)",31,21:07:31,89,31
51,"(72, 74)",72,21:07:47,72,74
52,"(91, 34)",91,21:08:23,91,34
53,"(29, 35)",29,21:08:45,29,35
54,"(86, 53)",53,21:09:03,86,53
55,"(22, 75)",75,21:09:15,22,75
56,"(1, 58)",1,21:10:14,1,58
57,"(20, 49)",49,21:10:25,20,49
58,"(43, 33)",33,21:10:41,43,33
59,"(41, 92)",41,21:11:27,41,92
60,"(70, 16)",16,21:11:43,70,16
61,"(37, 6)",37,21:12:32,37,6
62,"(82, 11)",82,21:12:53,82,11
63,"(36, 46)",36,21:16:39,36,46
64,"(26, 47)",47,21:18:22,26,47
65,"(23, 30)",30,21:18:39,23,30
66,"(76, 7)",7,21:19:37,76,7
67,"(8, 51)",51,21:19:37,8,51
68,"(71, 62)",62,21:20:16,71,62
69,"(67, 24)",67,14:18:50,67,24
70,"(50, 79)",79,14:19:18,50,79
71,"(80, 5)",5,14:19:55,80,5
72,"(10, 27)",10,14:20:23,10,27
73,"(4, 78)",4,14:20:40,4,78
74,"(83, 12)",12,14:22:02,83,12
75,"(38, 60)",38,14:22:25,38,60
76,"(40, 77)",77,14:22:33,40,77
77,"(0, 17)",0,14:22:42,0,17
78,"(9, 54)",9,14:23:01,9,54
79,"(44, 52)",52,14:28:17,44,52
80,"(2, 69)",69,14:28:25,2,69
81,"(84, 3)",3,14:28:29,84,3
82,"(81, 66)",81,14:28:36,81,66
83,"(28, 25)",25,14:28:50,28,25
84,"(85, 64)",64,14:29:23,85,64
85,"(61, 63)",63,14:31:30,61,63
86,"(59, 57)",57,14:31:36,59,57
87,"(56, 39)",39,14:31:48,56,39
88,"(90, 73)",90,14:31:51,90,73
89,"(14, 65)",14,14:32:02,14,65
90,"(42, 19)",19,14:32:12,42,19
91,"(55, 15)",15,14:32:27,55,15
92,"(48, 13)",48,14:32:49,48,13
93,"(88, 18)",18,14:32:56,88,18
94,"(3, 79)",79,14:33:16,3,79
95,"(68, 30)",68,14:33:27,68,30
96,"(84, 12)",12,14:33:30,84,12
97,"(83, 45)",83,14:33:52,83,45
98,"(24, 5)",5,14:33:58,24,5
99,"(35, 11)",35,14:34:27,35,11
100,"(90, 47)",90,14:34:46,90,47
101,"(81, 64)",64,14:36:18,81,64
102,"(53, 91)",53,14:36:27,53,91
103,"(21, 22)",21,14:36:37,21,22
104,"(66, 19)",19,14:36:44,66,19
105,"(55, 78)",78,14:42:04,55,78
106,"(74, 4)",4,14:42:43,74,4
107,"(61, 6)",6,14:42:55,61,6
108,"(59, 43)",43,14:43:01,59,43
109,"(85, 40)",85,14:43:50,85,40
110,"(87, 38)",38,14:44:02,87,38
111,"(42, 76)",42,14:44:33,42,76
112,"(20, 51)",51,14:45:20,20,51
113,"(56, 44)",44,14:45:34,56,44
114,"(50, 18)",18,14:45:39,50,18
115,"(49, 46)",46,14:45:47,49,46
116,"(93, 86)",93,14:45:53,93,86
117,"(63, 58)",63,14:46:49,63,58
118,"(25, 23)",25,14:47:08,25,23
119,"(26, 73)",26,14:47:11,26,73
120,"(15, 8)",8,14:47:51,15,8
121,"(13, 77)",13,14:48:40,13,77
122,"(33, 52)",33,15:01:51,33,52
123,"(7, 69)",69,15:03:46,7,69
124,"(9, 48)",9,15:03:59,9,48
125,"(36, 70)",36,15:04:03,36,70
126,"(16, 88)",16,15:08:36,16,88
127,"(28, 89)",89,15:08:48,28,89
128,"(57, 71)",57,15:19:06,57,71
129,"(54, 10)",10,15:19:31,54,10
130,"(14, 92)",14,15:19:45,14,92
131,"(29, 60)",29,15:21:26,29,60
132,"(67, 41)",41,15:21:44,67,41
133,"(31, 1)",1,15:22:05,31,1
134,"(82, 32)",82,15:22:16,82,32
135,"(37, 34)",34,15:22:22,37,34
136,"(2, 39)",39,15:22:27,2,39
137,"(0, 27)",0,15:23:00,0,27
138,"(62, 65)",62,15:23:17,62,65
139,"(80, 72)",72,15:23:30,80,72
140,"(75, 17)",75,15:23:33,75,17
141,"(38, 28)",38,15:23:38,38,28
142,"(14, 56)",14,15:23:48,14,56
143,"(17, 46)",46,15:23:50,17,46
144,"(74, 9)",74,15:24:09,74,9
145,"(15, 69)",15,15:24:20,15,69
146,"(87, 77)",77,15:24:23,87,77
147,"(83, 4)",83,15:24:59,83,4
148,"(57, 21)",21,15:25:15,57,21
149,"(48, 35)",48,15:25:30,48,35
150,"(88, 33)",33,15:25:36,88,33
151,"(53, 78)",53,15:25:40,53,78
152,"(40, 24)",40,15:25:53,40,24
153,"(85, 71)",71,15:26:00,85,71
154,"(2, 89)",89,15:26:03,2,89
155,"(68, 55)",55,15:26:05,68,55
156,"(7, 43)",7,15:26:17,7,43
157,"(76, 51)",51,15:26:23,76,51
158,"(84, 3)",3,15:26:25,84,3
159,"(18, 67)",67,15:26:40,18,67
160,"(65, 27)",27,15:26:44,65,27
161,"(31, 8)",31,15:26:56,31,8
162,"(64, 12)",12,15:27:09,64,12
163,"(80, 0)",0,15:27:14,80,0
164,"(37, 82)",82,15:27:20,37,82
165,"(47, 19)",47,15:27:28,47,19
166,"(16, 25)",25,15:27:34,16,25
167,"(61, 62)",62,15:27:37,61,62
168,"(70, 45)",45,15:27:44,70,45
169,"(66, 29)",29,15:27:52,66,29
170,"(81, 32)",32,15:28:06,81,32
171,"(72, 42)",72,15:28:16,72,42
172,"(91, 92)",92,15:28:20,91,92
173,"(6, 36)",36,15:28:26,6,36
174,"(30, 75)",75,15:28:33,30,75
175,"(44, 26)",26,15:28:40,44,26
176,"(73, 39)",39,15:28:43,73,39
177,"(13, 1)",13,15:28:51,13,1
178,"(22, 49)",22,15:28:56,22,49
179,"(20, 79)",20,15:29:08,20,79
180,"(58, 41)",41,15:29:20,58,41
181,"(10, 50)",10,15:29:24,10,50
182,"(11, 54)",54,15:29:35,11,54
183,"(23, 86)",86,15:29:40,23,86
184,"(60, 59)",60,15:29:43,60,59
185,"(93, 34)",93,15:30:02,93,34
186,"(5, 52)",5,15:30:07,5,52
187,"(63, 90)",90,15:30:20,63,90
188,"(85, 40)",40,15:30:27,85,40
189,"(49, 23)",49,15:30:30,49,23
190,"(4, 16)",4,15:30:35,4,16
191,"(34, 53)",53,15:30:39,34,53
192,"(69, 81)",69,15:30:48,69,81
193,"(50, 93)",93,15:30:50,50,93
194,"(24, 59)",24,15:30:52,24,59
195,"(92, 46)",92,15:31:02,92,46
196,"(2, 26)",26,15:31:06,2,26
197,"(5, 57)",5,15:31:19,5,57
198,"(75, 61)",75,15:31:24,75,61
199,"(10, 11)",11,15:31:31,10,11
200,"(42, 86)",42,15:31:35,42,86
201,"(39, 14)",14,15:31:43,39,14
202,"(33, 89)",89,15:31:47,33,89
203,"(76, 25)",25,15:31:50,76,25
204,"(82, 68)",82,15:31:56,82,68
205,"(73, 28)",28,15:31:58,73,28
206,"(55, 74)",74,15:32:05,55,74
207,"(80, 9)",9,15:32:12,80,9
208,"(31, 43)",31,15:32:17,31,43
209,"(0, 35)",0,15:32:29,0,35
210,"(60, 1)",1,15:32:43,60,1
211,"(27, 66)",27,15:32:49,27,66
212,"(67, 6)",67,15:32:52,67,6
213,"(63, 22)",63,15:32:56,63,22
214,"(21, 15)",21,15:33:04,21,15
215,"(7, 17)",7,15:33:06,7,17
216,"(20, 65)",20,15:33:11,20,65
217,"(36, 32)",36,15:33:27,36,32
218,"(71, 87)",71,15:33:29,71,87
219,"(88, 64)",64,21:02:53,88,64
220,"(44, 37)",44,21:04:55,44,37
221,"(54, 47)",54,21:05:16,54,47
222,"(12, 58)",12,21:06:38,12,58
223,"(8, 70)",8,21:06:42,8,70
224,"(52, 77)",52,21:06:52,52,77
225,"(13, 3)",13,21:07:03,13,3
226,"(41, 83)",41,21:07:19,41,83
227,"(56, 78)",78,21:07:37,56,78
228,"(90, 18)",90,21:08:02,90,18
229,"(29, 19)",29,21:08:16,29,19
230,"(48, 91)",48,21:08:20,48,91
231,"(30, 45)",45,21:08:35,30,45
232,"(38, 51)",38,21:09:17,38,51
