,Text
0,"Meanwhile, on Raw, fans were immersed in the feud between WWF owner Vince McMahon and Steve Austin. "
1,Dows is a city in franklin and wright counties of the U.S. state of Iowa. The population was 538 at the 2010 census. 
2,"Dauenhauer died at her home in Juneau, Alaska on September 25, 2017 at the age of 90. "
3,"The meetings of the Federal Council and the result of the votes taken are not open to the public, and the records remain sealed for 50 years."
4,"After a four day pass the Brigade conducted its Send - Off Ceremony on the parade field in front of the III CORPS Headquarters on FT. Hood, after the Ceremony the first elements departed for Theater, arriving on 27 March 2008."
5,"Following the moderate success of ""Whispering Grass"" on OKeh Records in 1953 Cole spent several months on the road with Johnny Coles and Benny Golson as the Earl Bostic band. "
6,"""All That She Wants"" is a hit single from Swedish pop group Ace of Base. "
7,He was looking at his old pads and skates that Eddie Dufour had arranged in Georges's corner. 
8,"On August 31, 2011, the network became simply known as ESPN3. As part of the rebranding, ESPN3.com redirected to WatchESPN, formerly ESPN Networks, and alongside with simulcasts of ESPN, ESPN2, ESPNU, ESPN Goal Line, and ESPN Buzzer Beater. "
9,"Tony can be seen bringing her flowers, walking her to class, and carrying her books-their relationship is progressing. "
10,"At the time, it was known as the Year of the Consulship of Saturninus and Vespillo or, less frequently, year 735 ""Ab urbe condita"". "
11,In February 1983 Carstens' decision was approved by the Federal Constitutional Court so that general elections could take place. 
12,Andersen identified with the swallow as a migratory bird whose pattern of life his own traveling days were beginning to resemble.
13,"Patriotism is generally understood to mean cultural attachment to one's homeland or devotion to one's country, although interpretations of the term vary with context, geography and philosophy."
14,"In the original ''Star Wars'' trilogy, the character was the romantic interest of Han Solo and revealed as the twin sister of Luke Skywalker. In she was revealed as the daughter of Anakin Skywalker and Padmé Amidala. "
15,"After being informed by her family that flowers and gifts were repeatedly being vandalized or disappearing from the grave site, even when chained down, a police officer investigated."
16,In 1119 it was absorbed into the Guidi counts possessions. 
17,"She was born in Detroit, Michigan."
18,"Traditional viral culture has been generally superseded by shell vial culture, in which the sample is centrifuged onto a single layer of cells and viral growth is measured by antigen detection methods. "
19,"The junglefowl are seed-eaters, but insects are also taken, particularly by the young birds. "
20,"In 1996, Principal Wong gave up working and the Vice Principal Ms Yau Oi Yuen started doing his work. "
21,"Early distributions included: SLS was not well-maintained, so Patrick Volkerding created a distribution based on SLS, which he called Slackware; released July 16, 1993. "
22,"The most common and successful example is software as a service (SaaS), but the as a service moniker has been associated with many other functions including communication, infrastructure and platforms, most of which are core components of cloud computing."
23,Pescozada is a hip-hop group from El Salvador. 
24,The region takes its name from the Balkan Mountains which run through the center of Bulgaria into eastern Serbia. 
25,"Executive power is to be exercised by the Governor-General, advised by the Federal Executive Council. "
26,This song hit number five on the Billboard Hot 100 and became Bedingfield's first top ten hit single in the United States. This single and Pocketful of Sunshine are among Bedingfield's most successful singles. 
27,"True: but it was because I did not then consider the ground there is for distinguishing between them, which I now plainly see. "
28,"Together they ruled over this land with a unique culture and language, contributing to the growth of Sangam Literature, some of the oldest literatures in the world. "
29,Most of the 772 convicts (of whom 732 survived the voyage) were petty thieves from the London slums.
30,"It is on the coast of the Baltic Sea, where it surrounds the city of Stralsund. "
31,This region remained around the trunk as a rigid layer that did not flake off like that of most modern trees. 
32,In 1833 parts of Burke and Buncombe county became Yancy County. The Southern part of Buncombe then became Henderson County.
33,An operation to the nasal septum is known as a septoplasty. 
34,"Both Iceland and Greenland accepted the ruler of Norway, but Scotland was able to prevent a Norwegian invasion and a negotiate a peace settlement. "
35,"In the modern planning system the pre-application phase is where key issues are expected to be resolved, as far as possible."
36,"In some mollusks the mantle cavity is a brood chamber, and in cephalopods and some bivalves such as scallops, it is a locomotory organ. "
37,It is described as pointed in the face and about the size of a rabbit. 
38,"Harry also becomes the worthy possessor of the remaining deathly Hallows: the invisibility cloak and the Resurrection Stone, hence becoming the true Master of Death."
39,"Upon receiving its classification, the depression consisted of a partially exposed low-level center with deep convection occupying the northeastern semicircle."
40,"The department is divided into three ""arrondissements"" (like districts) and 10 ""communes"" (like municipalities)."
41,The story began when the Hankyu-Hanshin hotel group admitted that it gave false descriptions of menu items at some of its restaurants between 2006 and October 2013.
42,"A list of our current documents, including orders, or instructions about how to make an order, with information about the site is now ready."
43,"""He went to school at Papanui High School, then University of Canterbury, but for only one year."""
44,"Its status as an official geological period was ratified in 2004 by the international union of geological sciences, making it the first new geological period declared in 120 years."
45,"Fontane's first published work, the novella Geschwisterliebe (or ""Sibling Love""), appeared in the Berlin Figaro in December 1839. "
46,The ban on wolf hunting in the western Carpathian mountains became law in 1995 and in the whole of Poland in 1998. There are now wolf packs in nearly all the country's major forests where the wolves exist together with humans.
47,Further Planning restrictions relating to works to the frontages of houses apply to areas of the city in conservation areas and to listed buildings.
48,"Action to take possession of your property may be taken by your mortgage lender or, if the property is leasehold, by the freeholder of the land."
49,Another of Groundwater's short stories has been adapted into a live theater performance.
50,"The fruit is a small, sharply three–angled nut 10–15 mm long, borne singly or in pairs in soft-spined husks 1.5–2.5 cm long, known as cupules."
51,"When the activists tried to march peacefully to the presidential villa in May, they were blocked by soldiers and police."
52,The MLB launched a campaign against the players after seeing the newspaper published the story.
53,"""Radiometric dating is a technique used to date materials, usually based on a comparison between the observed supply of a naturally occurring radioactive isotope and its decay products, using known decay rates."""
54,Recovery Russia bounced back from the August 1998 financial crash with surprising speed.
55,Schuschnigg told everyone right away the talks of large fights were false.
56,"""What makes this so unique is it's a partnership between the United Way and the National Association of Elementary School Principals and Scholastic,"" O'Dowd said."
57,"""A tuning fork or electronic tuning device may be used as a reference pitch, though in ensemble rehearsals often a piano is used."""
58,"From 1900 to 1920 many new facilities were constructed on campus, including facilities for the dental and pharmacy programs, a chemistry building, a building for the natural sciences, Hill Auditorium, large hospital and library complexes, and two residence halls."
