User-ID;Text-ID;Frage;Antwort;richtige_Antwort
mariggy23;142;What happened in Iraq in 1958? ;The monarchy was overthrown and the Republic of Iraq was established;The monarchy was overthrown and the Republic of Iraq was established
mariggy23;42;What must people making money from pretending to be letting agents join?;A property management association;An approved redress scheme.
mariggy23;112;What does the speaker concede about sounds?;They have no real being without the mind ;They have no real being without the mind 
mariggy23;46;What is the purpose of using an inventory in a tenancy agreement? ;To list the tenant's possessions;To encourage the tenant to look after provided items.
mariggy23;152;What is notable about Prague? ;It is a centuries-old city with a wealth of historic landmarks;It is a centuries-old city with a wealth of historic landmarks
mariggy23;24;What is the association of learning by ear with in the West?;Traditional and folk music;Traditional and folk music
mariggy23;43;Who is responsible for paying Council Tax in a rented property?;The landlord;The tenant
mariggy23;55;Which councils charge additional parish charges? ;All of the above.;All of the above.
mariggy23;53;How are provisional bookings handled? ;They can be made over the telephone.;They cannot be made over the telephone
mariggy23;103;How did he consider Butler's argument? ;Conclusive ;Conclusive 
mariggy23;60;What happens after receiving an application? ;Compliance check and then sent to the Police for checks;Compliance check and then sent to the Police for checks
mariggy23;133;What is the city's role in the country?;Financial and educational centre ;Chief port, largest city, and commercial, political, and tourist centre 
mariggy23;27;What concept is illustrated by the interaction between bacteria and antibiotics?;Evolutionary arms race.;Evolutionary arms race.
mariggy23;62;What does the initiative mentioned aim to support? ;Economic growth;Workforce Diversity Strategy
mariggy23;156;What is notable about some of the streets? ;They are so steep that they give way to stairs, cable cars, and even an elevator;They are so steep that they give way to stairs, cable cars, and even an elevator
mariggy23;114;How does a clever woman of the higher ranks find employment for her talents?;In the graces of manner and the arts of conversation;In the graces of manner and the arts of conversation
mariggy23;158;What happened to the city after the war? ;It was destroyed and rebuilt ;It was returned to the Dutch 
mariggy23;82;What conclusion does the text reject regarding the mind? ;The mind is tangible;The mind is extended
mariggy23;135;Where are concerts regularly given? ;Tchaikovsky Conservatory ;Tchaikovsky Conservatory 
