User-ID;Text-ID;Frage;Antwort;richtige_Antwort
Power;128;What is the oldest university in Dublin? ;University College Dublin;Trinity College 
Power;142;What happened in Iraq in 1958? ;The monarchy was overthrown and the Republic of Iraq was established;The monarchy was overthrown and the Republic of Iraq was established
Power;14;What distinguishes white chocolate from other types of chocolate? ;It contains no cocoa;It contains no cocoa
Power;94;What fate does the text predict for the subject?;Stability and prosperity;Destruction and regeneration
Power;45;What action must be taken the day after an application is received? ;Notify the local government;Display a notice in the building. 
Power;24;What is the association of learning by ear with in the West?;Traditional and folk music;Traditional and folk music
Power;2;What is the primary goal of the Federal Deposit Insurance Corporation (FDIC)?;To ensure the safety of people's money. ;To ensure the safety of people's money. 
Power;33;What structures do algae lack compared to land plants? ;Phyllids (leaves) and rhizoids;Leaves, roots, and other organs
Power;99;What does the text suggest an idea can resemble? ;Another idea;Another idea
Power;25;What is leukemia? ;A type of cancer of the blood or bone marrow. ;A type of cancer of the blood or bone marrow. 
Power;86;What is described as the most conspicuous feature of history? ;Struggle between liberty and authority;Struggle between liberty and authority
Power;153;What is another industry in the city? ;Movie making ;Movie making 
Power;62;What does the initiative mentioned aim to support? ;Workforce Diversity Strategy;Workforce Diversity Strategy
Power;27;What concept is illustrated by the interaction between bacteria and antibiotics?;Evolutionary arms race.;Evolutionary arms race.
Power;12;What gives the coconut flavor to the cake mentioned in the text?;Coconut cream ;Coconut cream 
Power;19;How do puppeteers control Muppets? ;Using voice commands. ;One hand controls the head, and the other hand controls the arms.
Power;115;What does doubting consist of according to the text?;Embracing the negative side;Embracing either the affirmative or negative side
Power;158;What happened to the city after the war? ;It was returned to the Dutch ;It was returned to the Dutch 
Power;129;When were the first settlements on the site of Jakarta established?;3rd century AD ;5th century AD 
Power;114;How does a clever woman of the higher ranks find employment for her talents?;In the graces of manner and the arts of conversation;In the graces of manner and the arts of conversation
Power;8;What role is the person mentioned in the text best known for? ;Voicing cartoon characters.;Voicing cartoon characters.
Power;118;What is found upon closer scrutiny about ideas that seem to have a different origin?;They are unimportant ;They are derived from the same origin 
Power;69;What was set up under the 1834 Poor Law Amendment Act? ;Homeless shelters;Institutions for the sick and infirm poor.
Power;54;When can workers from Making Space provide assistance? ;When the carer is not around.;When the carer is not around.
Power;96;What dilemma is presented in the text? ;The absence of religious dominance.;The absence of religious dominance.
Power;102;What is a proper office of public authority according to the text? ;To guard against accidents ;To guard against accidents 
Power;52;What planning approach covers the business rate relief sites? ;Local Development Order.;Local Development Order.
Power;22;What is the function of precapillary sphincters?;To regulate blood flow into arteries. ;To regulate blood flow into true capillaries
Power;84;What did the author know about existing society? ;It was in a deplorable state;It was in a deplorable state
Power;7;What phenomenon is compared to pesticide resistance in plants and insects in the text?;Antibiotic resistance. ;Antibiotic resistance. 
Power;33;What structures do algae lack compared to land plants? ;Stems and flowers;Leaves, roots, and other organs
Power;43;Who is responsible for paying Council Tax in a rented property?;The tenant;The tenant
Power;53;How are provisional bookings handled? ;They cannot be made over the telephone;They cannot be made over the telephone
Power;159;What happened to many people in the city? ;They were killed or sent to concentration camps and killed;They were killed or sent to concentration camps and killed
Power;76;Where can the Register of Members' Interests be viewed? ;Town Hall, Pinstone Street, Sheffield. ;Town Hall, Pinstone Street, Sheffield. 
